阿壩當歸	aa[ek ba[tb dh[xx gv[ux
日本堇菜	ri[wh bf[ah jb[nk cd[ca
日本金縷梅	ri[wh bf[ah jb[rw lv[sm mw[ar
日本金松	ri[wh bf[ah jb[rw ss[ab
日本金腰	ri[wh bf[ah jb[rw yc[ox
日本景天	ri[wh bf[ah jk[ow tm[hd
日本看麥娘	ri[wh bf[ah kj[fm md[fw nl[nl
日本寬翅螽斯	ri[wh bf[ah kr[gc ii[ux vs[wi si[qj
日本蠟蚧	ri[wh bf[ah la[ig jp[ir
日本辣實蠅	ri[wh bf[ah la[lh ui[gd yk[ik
日本癩象	ri[wh bf[ah ld[bh xl[dk
日本藍盆花	ri[wh bf[ah lj[cu pf[fm hx[cr
日本藍葉蜂	ri[wh bf[ah lj[cu ye[ku fg[iw
日本稜蝗	ri[wh bf[ah lg[at hl[ib
日本冷杉	ri[wh bf[ah lg[dr uj[ap
日本慄	ri[wh bf[ah li[xa
日本梨	ri[wh bf[ah li[ha
日本黧豆	ri[wh bf[ah li[hh dz[hk
日本立花桔	ri[wh bf[ah li[lh hx[cr ju[au
日本麗金龜	ri[wh bf[ah li[hk jb[rw gv[do
日本麗瓢蟲	ri[wh bf[ah li[hk pn[xp is[ks
日本櫟癭蜂	ri[wh bf[ah li[ap yk[bb fg[iw
日本慄癭蟎	ri[wh bf[ah li[xa yk[bb mj[ic
日本蓼	ri[wh bf[ah ln[cx
日本六道木	ri[wh bf[ah lq[wb dc[bz mu[ub
日本柳毛蚜	ri[wh bf[ah lq[ap mc[sv ya[iy
日本柳杉	ri[wh bf[ah lq[ap uj[ap
日本柳葉箬	ri[wh bf[ah lq[ap ye[ku ro[vc
日本路邊青	ri[wh bf[ah lu[zw bm[lz qk[fo
日本鹿蹄草	ri[wh bf[ah lu[gb ti[zl cc[co
日本蘆葦	ri[wh bf[ah lu[ch ww[cw
日本亂子草	ri[wh bf[ah lr[qv zi[lh cc[co
日本螺	ri[wh bf[ah lo[it
日本羅漢果	ri[wh bf[ah lo[sx hj[dy go[oa
日本絡石	ri[wh bf[ah lo[sw ui[ek
日本蘿紋蛾	ri[wh bf[ah lo[cs wf[sw ee[ip
日本落葉松	ri[wh bf[ah lo[cd ye[ku ss[ab
日本綠背蝽	ri[wh bf[ah lv[sx bw[bo iy[is
日本綠螽	ri[wh bf[ah lv[sx vs[wi
日本馬桑	ri[wh bf[ah ma[vv sh[ya
日本馬醉木	ri[wh bf[ah ma[vv zv[yw mu[ub
日本麥蝽	ri[wh bf[ah md[fw iy[is
日本麥莖蜂	ri[wh bf[ah md[fw jk[cs fg[iw
日本芒粉蚧	ri[wh bf[ah mh[cw ff[mf jp[ir
日本毛管蚜	ri[wh bf[ah mc[sv gr[vg ya[iy
日本毛蚊	ri[wh bf[ah mc[sv wf[iw
日本美聲蛺蝶	ri[wh bf[ah mw[bw ug[um jx[ij dp[in
日本獼猴桃	ri[wh bf[ah mi[qg hz[qr tc[av
日本木工蟻	ri[wh bf[ah mu[ub gs[hu yi[id
日本木瓜	ri[wh bf[ah mu[ub gx[ps
日本牡蠣盾蚧	ri[wh bf[ah mu[nt li[ii dy[pu jp[ir
日本南五味子	ri[wh bf[ah nj[uk wu[hu ww[kh zi[lh
日本牛蒡象甲	ri[wh bf[ah nq[pf bh[cl xl[dk jx[ou
日本女貞	ri[wh bf[ah nv[vp vf[bb
日本盤綿蠟蚧	ri[wh bf[ah pj[vm mm[sb la[ig jp[ir
日本皮蠹	ri[wh bf[ah pi[vp du[hi
日本琵琶甲	ri[wh bf[ah pi[wb pa[wb jx[ou
日本瓶爾小草	ri[wh bf[ah pk[bw er[dx xn[ub cc[co
日本蘋虎象	ri[wh bf[ah pk[cp hu[hj xl[dk
日本萍蓬草	ri[wh bf[ah pk[cd pg[cw cc[co
日本蘋天牛	ri[wh bf[ah pk[cp tm[hd nq[pf
日本榿木	ri[wh bf[ah qi[au mu[ub
日本七葉樹	ri[wh bf[ah qi[hv ye[ku uu[ay
日本切葉蜂	ri[wh bf[ah qp[qd ye[ku fg[iw
日本球蚧	ri[wh bf[ah qq[wh jp[ir
日本絨蚧	ri[wh bf[ah rs[sg jp[ir
日本榕小蜂	ri[wh bf[ah rs[ax xn[ub fg[iw
日本三角藻	ri[wh bf[ah sj[hh jn[do zc[cd
日本三蕊柳	ri[wh bf[ah sj[hh rv[cx lq[ap
日本散血丹	ri[wh bf[ah sj[gw xt[pm dj[kw
日本杉小粉蚧	ri[wh bf[ah ua[ap xn[ub ff[mf jp[ir
日本珊瑚樹	ri[wh bf[ah uj[wk hu[wg uu[ay
日本山毛櫸	ri[wh bf[ah uj[uk mc[sv ju[ax
日本山眼蝶	ri[wh bf[ah uj[uk yj[mg dp[in
日本十星葉甲	ri[wh bf[ah ui[hu xk[op ye[ku jx[ou
日本式造景	ri[wh bf[ah ui[qg zc[nz jk[ow
日本石竹	ri[wh bf[ah ui[ek vu[rr
日本樹蜂	ri[wh bf[ah uu[ay fg[iw
日本疏葉卷柏	ri[wh bf[ah uu[pw ye[ku jr[be bd[ab
日本雙菱藻	ri[wh bf[ah ul[yy lk[ct zc[cd
日本水虻	ri[wh bf[ah uv[uu mg[iw
日本水楊梅	ri[wh bf[ah uv[uu yh[av mw[ar
日本四照花	ri[wh bf[ah si[we vc[od hx[cr
日本菘菜	ri[wh bf[ah ss[ca cd[ca
日本松幹蚧	ri[wh bf[ah ss[ab gj[hu jp[ir
日本松蚧	ri[wh bf[ah ss[ab jp[ir
日本松沫蟬	ri[wh bf[ah ss[ab mo[dh ij[ib
日本松小蠹	ri[wh bf[ah ss[ab xn[ub du[hi
日本粟	ri[wh bf[ah su[xm
日本苔草	ri[wh bf[ah td[cs cc[co
日本藤小蠹	ri[wh bf[ah tg[co xn[ub du[hi
日本天劍	ri[wh bf[ah tm[hd jm[rd
日本跳盲蝽	ri[wh bf[ah tn[zv mh[wm iy[is
日本鐵杉	ri[wh bf[ah tp[jp uj[ap
日本筒天牛	ri[wh bf[ah ts[vk tm[hd nq[pf
日本土蜂	ri[wh bf[ah tu[uh fg[iw
日本菟絲子	ri[wh bf[ah tu[cd si[sh zi[lh
日本瓦松	ri[wh bf[ah wa[hv ss[ab
日本晚櫻	ri[wh bf[ah wj[od yk[ab
日本衛茅	ri[wh bf[ah ww[eh mc[cy
日本蝸牛	ri[wh bf[ah wo[ik nq[pf
日本蕪菁葉蜂	ri[wh bf[ah wu[ce jk[cf ye[ku fg[iw
日本五葉松	ri[wh bf[ah wu[hu ye[ku ss[ab
日本五針松	ri[wh bf[ah wu[hu vf[ju ss[ab
日本膝刺螽	ri[wh bf[ah xi[oa ci[cd vs[wi
日本細蛾	ri[wh bf[ah xi[st ee[ip
日本香柏	ri[wh bf[ah xl[ho bd[ab
日本橡木小蠹	ri[wh bf[ah xl[ad mu[ub xn[ub du[hi
日本小檗	ri[wh bf[ah xn[ub bo[ua
日本小長蝽	ri[wh bf[ah xn[ub ih[ph iy[is
日本小櫱	ri[wh bf[ah xn[ub np[ca
日本小蟻	ri[wh bf[ah xn[ub yi[id
日本辛荑	ri[wh bf[ah xb[lu yi[ch
日本辛夷	ri[wh bf[ah xb[lu yi[hg
日本型水稻	ri[wh bf[ah xk[kt uv[uu dc[ha
日本繡球	ri[wh bf[ah xq[sh qq[wh
日本修尾蚜	ri[wh bf[ah xq[ru ww[um ya[iy
日本鏽線菊	ri[wh bf[ah xq[jh xm[sj ju[cb
日本蕈柄蚊	ri[wh bf[ah xy[cx bk[ah wf[iw
日本巖蕨	ri[wh bf[ah yj[ue jt[ci
日本夜蟬	ri[wh bf[ah ye[wr ij[ib
日本野木瓜	ri[wh bf[ah ye[oy mu[ub gx[ps
日本茵芋	ri[wh bf[ah yb[cw yu[ce
日本櫻花	ri[wh bf[ah yk[ab hx[cr
日本櫻樺	ri[wh bf[ah yk[ab hx[ar
日本癭棉蚧	ri[wh bf[ah yk[bb mm[ab jp[ir
日本纓小蜂	ri[wh bf[ah yk[sb xn[ub fg[iw
日本油桐	ri[wh bf[ah yz[dy ts[ak
日本榆叉角蜂	ri[wh bf[ah yu[ar ia[yd jn[do fg[iw
日本榆尺蠖	ri[wh bf[ah yu[ar ii[ud ho[ic
日本玉蘭	ri[wh bf[ah yu[wd lj[bs
日本魚鱗松	ri[wh bf[ah yu[dt lb[ym ss[ab
日本榆綿蚜	ri[wh bf[ah yu[ar mm[sb ya[iy
日本園蟋	ri[wh bf[ah yr[we xi[ip
日本雲杉	ri[wh bf[ah yy[es uj[ap
日本棗灰蝶	ri[wh bf[ah zc[cd hv[uh dp[in
日本皂莢	ri[wh bf[ah zc[bq jx[cj
日本蚤螻	ri[wh bf[ah zc[yi lz[im
日本灶馬	ri[wh bf[ah zc[ht ma[vv
日本澤芹	ri[wh bf[ah ze[dy qb[cj
日本簀藻	ri[wh bf[ah ze[vf zc[cd
日本沼澤蝗	ri[wh bf[ah vc[dd ze[dy hl[ib
日本榛	ri[wh bf[ah vf[as
日本真蝽	ri[wh bf[ah vf[uj iy[is
日本趾鐵甲	ri[wh bf[ah vi[zv tp[jp jx[ou
日本螽斯	ri[wh bf[ah vs[wi si[qj
日本皺鞘葉甲	ri[wh bf[ah vz[dp qn[gx ye[ku jx[ou
日本竹長蠹	ri[wh bf[ah vu[rr ih[ph du[hi
日本朱蝽	ri[wh bf[ah vu[ph iy[is
日本竹粉蚧	ri[wh bf[ah vu[rr ff[mf jp[ir
日本蛛甲	ri[wh bf[ah vu[ip jx[ou
日本竹節蟲	ri[wh bf[ah vu[rr jp[ce is[ks
日本追寄蠅	ri[wh bf[ah vv[pz ji[gd yk[ik
日本紫灰蝶	ri[wh bf[ah zi[vy hv[uh dp[in
日本紫莖	ri[wh bf[ah zi[vy jk[cs
日本紫藤	ri[wh bf[ah zi[vy tg[co
日本紫珠	ri[wh bf[ah zi[vy vu[wp
日本柞蠶	ri[wh bf[ah zo[av cj[ti
日稻毛眼水蠅	ri[wh dc[ha mc[sv yj[mg uv[uu yk[ik
日盾蚧	ri[wh dy[pu jp[ir
日光冷杉	ri[wh gl[xe lg[dr uj[ap
日光松	ri[wh gl[xe ss[ab
日光小蜂	ri[wh gl[xe xn[ub fg[iw
日規殼	ri[wh gv[ej ke[ug
日蠣蚧	ri[wh li[ii jp[ir
日李瘤蚜	ri[wh li[az lq[bp ya[iy
日日草	ri[wh ri[wh cc[co
日山嵛菜	ri[wh uj[uk yu[ur cd[ca
日酸漿瘤蚜	ri[wh sr[ys jl[du lq[bp ya[iy
日穴星坑小蠹	ri[wh xt[gb xk[op kg[tw xn[ub du[hi
日月寶	ri[wh yt[ke bc[gw
日照飄狒草	ri[wh vc[od pn[xf fw[qf cc[co
日照飄拂草	ri[wh vc[od pn[xf fu[ff cc[co
日之出	ri[wh vi[dv iu[ck
日週期性	ri[wh vz[kt qi[qo xk[xp
榕八星天牛	rs[ax ba[pd xk[op tm[hd nq[pf
絨柏	rs[sg bd[ab
絨背薊	rs[sg bw[bo ji[cy
絨柄革菌	rs[sg bk[ah ge[nk jy[cw
絨果芹	rs[sg go[oa qb[cj
絨果芹屬	rs[sg go[oa qb[cj uu[up
絨果田麻	rs[sg go[oa tm[wu ma[ga
絨花胡枝子	rs[sg hx[cr hu[go vi[au zi[lh
蓉花樹	rs[cx hx[cr uu[ay
絨花樹	rs[sg hx[cr uu[ay
榕蛺蝶	rs[ax jx[ij dp[in
榕狡小蜂	rs[ax jn[ql xn[ub fg[iw
榕金斑蛾	rs[ax jb[rw bj[ww ee[ip
溶菌斑	rs[dx jy[cw bj[ww
溶菌斑測定法	rs[dx jy[cw bj[ww ce[db dk[gp fa[dt
溶菌性侵染	rs[dx jy[cw xk[xp qb[rx rj[da
溶菌作用	rs[dx jy[cw zo[rv ys[ou
絨藜屬	rs[sg li[ch uu[up
榕裂頭木蝨	rs[ax lp[hy tz[dd mu[ub ui[vp
絨毛草	rs[sg mc[sv cc[co
絨毛草麥角病	rs[sg mc[sv cc[co md[fw jn[do bk[bh
絨毛草屬	rs[sg mc[sv cc[co uu[up
絨毛草瘟病	rs[sg mc[sv cc[co wf[bo bk[bh
絨毛豆梨	rs[sg mc[sv dz[hk li[ha
絨毛胡枝子	rs[sg mc[sv hu[go vi[au zi[lh
絨毛尖葉四照花	rs[sg mc[sv jm[xd ye[ku si[we vc[od hx[cr
絨毛俚夜蛾	rs[sg mc[sv li[ro ye[wr ee[ip
絨毛綿穗蘇	rs[sg mc[sv mm[sb sv[hh su[cl
絨毛潤楠	rs[sg mc[sv ry[dm nj[au
絨毛山胡椒	rs[sg mc[sv uj[uk hu[go jn[au
茸毛山楊	rs[ce mc[sv uj[uk yh[av
絨毛石楠	rs[sg mc[sv ui[ek nj[au
絨毛皁柳	rs[sg mc[sv zc[bq lq[ap
榕牡蠣盾蚧	rs[ax mu[nt li[ii dy[pu jp[ir
茸球藨草	rs[ce qq[wh bn[[ cc[co
榮山真叻	rs[ca uj[uk vf[uj le[kl
榕梢小蠹	rs[ax uc[ax xn[ub du[hi
榕屬	rs[ax uu[up
榕樹牡蠣盾蚧	rs[ax uu[ay mu[nt li[ii dy[pu jp[ir
絨天蛾	rs[sg tm[hd ee[ip
溶細胞素	rs[dx xi[st bc[ob su[fy
榕小蜂	rs[ax xn[ub fg[iw
絨星尺蛾	rs[sg xk[op ii[ud ee[ip
容許限度	rs[xr xu[yw xm[eg du[gn
溶血性介體	rs[dx xt[pm xk[xp jp[rp ti[ra
絨葉斑葉蘭	rs[sg ye[ku bj[ww ye[ku lj[bs
榕葉冬青	rs[ax ye[ku ds[wd qk[fo
榕葉樹參	rs[ax ye[ku uu[ay cj[sd
榕葉掌葉樹	rs[ax ye[ku vh[xf ye[ku uu[ay
溶源反應	rs[dx yr[di fj[py yk[gx
溶源化	rs[dx yr[di hx[rq
溶源菌	rs[dx yr[di jy[cw
溶源性	rs[dx yr[di xk[xp
溶源性菌株	rs[dx yr[di xk[xp jy[cw vu[ap
溶源轉變	rs[dx yr[di vr[ie bm[yy
絨狀	rs[sg vl[dq
絨紫萁	rs[sg zi[vy qi[cq
柔瓣美人蕉	rz[ya bj[lp mw[bw rf[pd jn[cv
柔垂纈草	rz[ya iv[ph xp[su cc[co
肉蓯蓉屬	rz[kr cs[cr rs[cx uu[up
肉豆寇	rz[kr dz[hk kz[ge
肉豆蔻科	rz[kr dz[hk kz[cg ke[hd
肉根毛茛	rz[kr gf[ag mc[sv gf[cg
肉桂	rz[kr gv[at
肉桂輪盾蚧	rz[kr gv[at ly[ir dy[pu jp[ir
肉果	rz[kr go[oa
肉花衛矛	rz[kr hx[cr ww[eh mc[yp
柔花眼子菜	rz[ya hx[cr yj[mg zi[lh cd[ca
肉莢草屬	rz[kr jx[cj cc[co uu[up
柔菅	rz[ya jm[cg
肉浸汁	rz[kr jb[dx vi[du
肉莖植物	rz[kr jk[cs vi[au wu[nb
柔毛艾納香	rz[ya mc[sv ai[ci na[sk xl[ho
柔毛糙葉樹	rz[ya mc[sv cc[mn ye[ku uu[ay
柔毛果珍珠茅	rz[ya mc[sv go[oa vf[wr vu[wp mc[cy
柔毛蒿	rz[ya mc[sv hc[cw
柔毛花荵	rz[ya mc[sv hx[cr rf[[
柔毛黃花忍冬	rz[ya mc[sv hl[gy hx[cr rf[dx ds[wd
柔毛剪股穎	rz[ya mc[sv jm[bd gu[oj yk[by
柔毛堇菜	rz[ya mc[sv jb[nk cd[ca
柔毛金腰	rz[ya mc[sv jb[rw yc[ox
柔毛龍眼獨活	rz[ya mc[sv ls[yp yj[mg du[qi ho[dq
柔毛泡花樹	rz[ya mc[sv pc[db hx[cr uu[ay
柔毛水楊梅	rz[ya mc[sv uv[uu yh[av mw[ar
柔毛土當歸	rz[ya mc[sv tu[uh dh[xx gv[ux
柔毛五加	rz[ya mc[sv wu[hu jx[lk
柔毛楊	rz[ya mc[sv yh[av
柔毛野豌豆	rz[ya mc[sv ye[oy wj[dg dz[hk
柔毛油杉	rz[ya mc[sv yz[dy uj[ap
柔毛脹果芹	rz[ya mc[sv vh[oi go[oa qb[cj
柔毛鑽地風	rz[ya mc[sv zr[jb di[ty fg[ji
柔膜菌	rz[ya mo[oc jy[cw
柔軟剪股穎	rz[ya rr[id jm[bd gu[oj yk[by
柔軟角藻	rz[ya rr[id jn[do zc[cd
柔軟叩甲	rz[ya rr[id kz[ke jx[ou
柔軟舟形藻	rz[ya rr[id vz[pk xk[kp zc[cd
柔弱斑種草	rz[ya ro[gg bj[ww vs[hv cc[co
柔弱班種草	rz[ya ro[gg bj[wd vs[hv cc[co
柔弱布紋藻	rz[ya ro[gg bu[uj wf[sw zc[cd
柔弱燈心草	rz[ya ro[gg dg[hd xb[dv cc[co
柔弱根管藻	rz[ya ro[gg gf[ag gr[vg zc[cd
柔弱海毛藻	rz[ya ro[gg hd[dr mc[sv zc[cd
柔弱黃芩	rz[ya ro[gg hl[gy qb[cr
柔弱角毛藻	rz[ya ro[gg jn[do mc[sv zc[cd
柔弱井字藻	rz[ya ro[gg jk[ep zi[gz zc[cd
柔弱菱形藻	rz[ya ro[gg lk[ct xk[kp zc[cd
柔弱斜紋藻	rz[ya ro[gg xp[rd wf[sw zc[cd
肉珊瑚屬	rz[kr uj[wk hu[wg uu[up
肉食皮蠹	rz[kr ui[rl pi[vp du[hi
肉實屬	rz[kr ui[gd uu[up
肉實樹	rz[kr ui[gd uu[ay
肉穗草屬	rz[kr sv[hh cc[co uu[up
肉穗花序	rz[kr sv[hh hx[cr xu[gy
柔苔草	rz[ya td[cs cc[co
柔薹草	rz[ya td[cu cc[co
肉託果屬	rz[kr to[fp go[oa uu[up
肉託竹柏	rz[kr to[fp vu[rr bd[ab
肉藥蘭屬	rz[kr yc[cs lj[bs uu[up
柔葉藎草	rz[ya ye[ku jb[cu cc[co
葇夷花序	rz[[ yi[hg hx[cr xu[gy
肉質根	rz[kr vi[pu gf[ag
肉質生根	rz[kr vi[pu ug[pf gf[ag
柔枝莠竹	rz[ya vi[au yz[ch vu[rr
肉軸胡椒	rz[kr vz[iy hu[go jn[au
柔籽草屬	rz[ya zi[mz cc[co uu[up
乳白花堇菜	ru[av bd[po hx[cr jb[nk cd[ca
乳白密碼子	ru[av bd[po mi[gu ma[em zi[lh
乳白香青	ru[av bd[po xl[ho qk[fo
蠕孢盾殼	ru[iy bc[zb dy[pu ke[ug
汝昌冬青	ru[dn ih[oo ds[wd qk[fo
乳豆屬	ru[av dz[hk uu[up
乳兒繩	ru[av er[pv ug[sk
乳漿大戟	ru[av jl[du da[hr ji[ug
乳膠凝集反應	ru[av jn[ol nk[db ji[va fj[py yk[gx
乳桔	ru[av ju[au
蠕菱形藻	ru[iy lk[ct xk[kp zc[cd
乳糜胃	ru[av mi[gm ww[to
蠕絲殼炱	ru[iy si[sh ke[ug td[sh
乳頭燈心草	ru[av tz[dd dg[hd xb[dv cc[co
乳頭弧眼藻	ru[av tz[dd hu[gp yj[mg zc[cd
乳頭基荸薺	ru[av tz[dd ji[qt bi[cu qi[cw
乳頭前胡	ru[av tz[dd qm[bo hu[go
乳頭胸隔藻	ru[av tz[dd xs[ob ge[eh zc[cd
乳突果屬	ru[av tu[xq go[oa uu[up
乳突棶木	ru[av tu[xq ld[[ mu[ub
乳突青莢葉	ru[av tu[xq qk[fo jx[cj ye[ku
乳突球屬	ru[av tu[xq qq[wh uu[up
乳突苔草	ru[av tu[xq td[cs cc[co
乳菀屬	ru[av wj[cg uu[up
如意草	ru[nk yi[lx cc[co
乳源木蓮	ru[av yr[di mu[ub lm[ci
乳汁管	ru[av vi[du gr[vg
軟骨草屬	rr[id gu[ko cc[co uu[up
阮建鵬	rr[ee jm[yj pg[on
軟毛齒緣草	rr[id mc[sv ii[vr yr[sv cc[co
軟毛蟲實	rr[id mc[sv is[ks ui[gd
軟毛眉藻	rr[id mc[sv mw[mm zc[cd
軟盤菌	rr[id pj[vm jy[cw
軟雀花	rr[id qt[xv hx[cr
軟射線	rr[id ue[uc xm[sj
阮氏殼孢	rr[ee ui[pq ke[ug bc[zb
軟水樹脂	rr[id uv[uu uu[ay vi[ob
軟薹草	rr[id td[cu cc[co
軟條七薔薇	rr[id tn[wa qi[hv ql[ct ww[cr
軟棗獼猴桃	rr[id zc[cd mi[qg hz[qr tc[av
銳齒臭櫻	rv[jb ii[vr iz[zq yk[ab
銳齒槲櫟	rv[jb ii[vr hu[ad li[ap
銳齒柳葉菜	rv[jb ii[vr lq[ap ye[ku cd[ca
銳齒鼠李	rv[jb ii[vr uu[jv li[az
銳齒西風芹	rv[jb ii[vr xi[hk fg[ji qb[cj
瑞典蔓青	rv[wu dm[kb mj[co qk[fo
瑞典三葉草	rv[wu dm[kb sj[hh ye[ku cc[co
銳尖葉獨活	rv[jb jm[xd ye[ku du[qi ho[dq
銳角槭	rv[jb jn[do qi[aw
瑞麗鵝掌柴	rv[wu li[hk ee[pn vh[xf id[va
瑞麗胡椒	rv[wu li[hk hu[go jn[au
瑞麗羅傘	rv[wu li[hk lo[sx sj[rb
瑞墨爾斜斑藻	rv[wu mo[ht er[dx xp[rd bj[ww zc[cd
瑞木矮痣蚜	rv[wu mu[ub ai[uh vi[bu ya[iy
瑞木短痣蚜	rv[wu mu[ub dr[ud vi[bu ya[iy
蕊木屬	rv[cx mu[ub uu[up
瑞士黑麥草	rv[wu ui[uh hw[sd md[fw cc[co
瑞氏楔穎草	rv[wu ui[pq xp[af yk[by cc[co
瑞斯鱂	rv[wu si[qj jl[[
銳突	rv[jb tu[xq
瑞香	rv[wu xl[ho
瑞香白絹病	rv[wu xl[ho bd[po jr[sk bk[bh
瑞香白紋羽病	rv[wu xl[ho bd[po wf[sw yu[xx bk[bh
瑞香病毒	rv[wu xl[ho bk[bh du[fm
瑞香菌核病	rv[wu xl[ho jy[cw he[aw bk[bh
瑞香科	rv[wu xl[ho ke[hd
瑞香屬	rv[wu xl[ho uu[up
瑞香疫病	rv[wu xl[ho yi[bj bk[bh
瑞香藻斑病	rv[wu xl[ho zc[cd bj[ww bk[bh
銳葉茴芹	rv[jb ye[ku hv[cw qb[cj
銳葉山柑	rv[jb ye[ku uj[uk gj[ag
銳枝木蓼	rv[jb vi[au mu[ub ln[cx
潤肺草屬	ry[dm fw[oh cc[co uu[up
潤楠屬	ry[dm nj[au uu[up
弱毒化	ro[gg du[fm hx[rq
弱毒系	ro[gg du[fm xi[py
弱瘤材小蠹	ro[gg lq[bp cd[ac xn[ub du[hi
弱小谷盜	ro[gg xn[ub gu[bk dc[dm
弱鏽鱗飄拂草	ro[gg xq[jh lb[ym pn[xf fu[ff cc[co
箬竹屬	ro[vc vu[rr uu[up
薩巴吉	sa[ce ba[ku ji[uk
撒旦異型	sa[fg dj[oh yi[kc xk[kt
撒爾維亞	sa[fg er[dx ww[sv ya[hy
薩哈林冷杉	sa[ce ha[kr lb[aa lg[dr uj[ap
薩哈林梢小蠹	sa[ce ha[kr lb[aa uc[ax xn[ub du[hi
薩哈林雲杉	sa[ce ha[kr lb[aa yy[es uj[ap
撒金碧桃	sa[fg jb[rw bi[we tc[av
灑金榕	sa[dx jb[rw rs[ax
撒粒機	sa[fg li[ml ji[aj
薩摩錦	sa[ce mo[gf jb[jb
薩氏瘤頭蚜	sa[ce ui[pq lq[bp tz[dd ya[iy
薩韋胸隔藻	sa[ce ww[hh xs[ob ge[eh zc[cd
灑藥花	sa[dx yc[cs hx[cr
薩伊猴魚	sa[ce yi[rx hz[qr yu[dt
賽北紫堇	sd[gb bw[ub zi[vy jb[nk
塞北紫堇	sd[gt bw[ub zi[vy jb[nk
賽繁縷	sd[gb fj[ry lv[sm
賽黑樺	sd[gb hw[sd hx[ar
鰓基	sd[yt ji[qt
賽劍紋夜蛾	sd[gb jm[rd wf[sw ye[wr ee[ip
賽金蓮木屬	sd[gb jb[rw lm[ci mu[ub uu[up
賽菊芋屬	sd[gb ju[cb yu[ce uu[up
噻菌靈	sd[kg jy[cw lk[xh
賽克斯鱂	sd[gb ke[ge si[qj jl[[
賽葵	sd[gb kv[cd
賽葵屬	sd[gb kv[cd uu[up
塞廖利材小蠹	sd[gt ln[gx li[hd cd[ac xn[ub du[hi
賽璐玢培養	sd[gb lu[wz ff[wf pw[tl yh[yp
賽裸多甲藻	sd[gb lo[yo do[xx jx[ou zc[cd
噻蟎酯	sd[kg mj[ic vi[yb
賽南芥	sd[gb nj[uk jp[cr
賽楠屬	sd[gb nj[au uu[up
賽山藍屬	sd[gb uj[uk lj[cu uu[up
賽山梅	sd[gb uj[uk mw[ar
塞舌耳雙菱藻	sd[gt ue[qk er[hu ul[yy lk[ct zc[cd
塞舌爾胸隔藻	sd[gt ue[qk er[dx xs[ob ge[eh zc[cd
賽信	sd[gb xb[ry
鰓葉狀觸角	sd[yt ye[ku vl[dq iu[di jn[do
鰓狀管	sd[yt vl[dq gr[vg
三白草	sj[hh bd[po cc[co
三白草科	sj[hh bd[po cc[co ke[hd
三白草屬	sj[hh bd[po cc[co uu[up
三瓣果屬	sj[hh bj[lp go[oa uu[up
三瓣木蘭	sj[hh bj[lp mu[ub lj[bs
三瓣木蓮	sj[hh bj[lp mu[ub lm[ci
三寶木屬	sj[hh bc[gw mu[ub uu[up
三苞小柴胡	sj[hh bc[cb xn[ub id[va hu[go
三苯錫氯	sj[hh bf[ca xi[jo lv[qx
三波胸隔藻	sj[hh bo[dp xs[ob ge[eh zc[cd
三叉孢炱	sj[hh ia[yd bc[zb td[sh
三叉刺屬	sj[hh ia[yd ci[cd uu[up
三叉耳蕨	sj[hh ia[yd er[hu jt[ci
三叉角藻	sj[hh ia[yd jn[do zc[cd
三叉苦	sj[hh ia[yd ku[cg
三叉雙管藻	sj[hh ia[yd ul[yy gr[vg zc[cd
三叉星芒孢	sj[hh ia[yd xk[op mh[cw bc[zb
三叉狀輻襉藻	sj[hh ia[yd vl[dq fu[ih jm[ym zc[cd
三齒盒形藻	sj[hh ii[vr he[rm xk[kp zc[cd
三齒棘脛小蠹	sj[hh ii[vr ji[cc jk[os xn[ub du[hi
三齒婪步甲	sj[hh ii[vr lj[an bu[vu jx[ou
三齒小蠹	sj[hh ii[vr xn[ub du[hi
三重寄生物	sj[hh is[ph ji[gd ug[pf wu[nb
三出複葉	sj[hh iu[ck fu[ro ye[ku
三出蘡薁	sj[hh iu[ck yk[[ yu[[
三出羽狀複葉	sj[hh iu[ck yu[xx vl[dq fu[ro ye[ku
三出掌狀複葉	sj[hh iu[ck vh[xf vl[dq fu[ro ye[ku
三春魁	sj[hh iy[so kv[gd
三刺草	sj[hh ci[cd cc[co
三帶粉尺蠖	sj[hh dd[cj ff[mf ii[ud ho[ic
三帶黃綠龜甲	sj[hh dd[cj hl[gy lv[sx gv[do jx[ou
三帶蛺蝶	sj[hh dd[cj jx[ij dp[in
三帶象天牛	sj[hh dd[cj xl[dk tm[hd nq[pf
三帶野螟	sj[hh dd[cj ye[oy mk[ig
三點鋸谷盜	sj[hh dm[bd ju[ju gu[bk dc[dm
三點仰泳蝽	sj[hh dm[bd yh[rp ys[dd iy[is
散而維亞	sj[gw er[ek ww[sv ya[hy
傘繁縷	sj[rb fj[ry lv[sm
三方赤星鏽病	sj[hh fh[dw ii[ty xk[op xq[jh bk[bh
傘房花耳草	sj[rb fh[hf hx[cr er[hu cc[co
傘房花序	sj[rb fh[hf hx[cr xu[gy
傘房莢蒾	sj[rb fh[hf jx[cj mi[[
三輻柴胡	sj[hh fu[ih id[va hu[go
三河野豌豆	sj[hh he[dk ye[oy wj[dg dz[hk
散黑粉病	sj[gw hw[sd ff[mf bk[bh
三花頂冰花	sj[hh hx[cr dk[dy bk[du hx[cr
三花冬青	sj[hh hx[cr ds[wd qk[fo
傘花黃芪	sj[rb hx[cr hl[gy qi[cu
