哀而不傷	ai[wk er[ek bu[eu uh[rr
君子去仁	jy[xk zi[lh qu[ts rf[re
君子人	jy[xk zi[lh rf[pd
君子三年不為禮	jy[xk zi[lh sj[hh nm[rn bu[eu ww[dl li[uv
君子上達	jy[xk zi[lh uh[bh da[dz
君子尚勇乎	jy[xk zi[lh uh[xk ys[sl hu[pb
君子食無求飽	jy[xk zi[lh ui[rl wu[ee qq[hu bc[ub
君子思不出其位	jy[xk zi[lh si[tx bu[eu iu[ck qi[cb ww[rl
君子所貴乎道者三	jy[xk zi[lh so[pj gv[vb hu[pb dc[bz ve[to sj[hh
君子泰而不驕	jy[xk zi[lh td[su er[ek bu[eu jn[mp
君子坦蕩蕩	jy[xk zi[lh tj[to dh[cd dh[cd
君子務本	jy[xk zi[lh wu[wl bf[ah
君子無所爭	jy[xk zi[lh wu[ee so[pj vg[dx
君子無眾寡	jy[xk zi[lh wu[ee vs[rr gx[gf
君子無終食之間違仁	jy[xk zi[lh wu[ee vs[sw ui[rl vi[dv jm[mo ww[wz rf[re
君子信而後勞其民	jy[xk zi[lh xb[ry er[ek hz[pk lc[cl qi[cb mb[kv
君子學道則愛人	jy[xk zi[lh xt[xz dc[bz ze[bd ai[au rf[pd
君子學以致其道	jy[xk zi[lh xt[xz yi[sr vi[hw qi[cb dc[bz
君子也	jy[xk zi[lh ye[vu
君子亦黨乎	jy[xk zi[lh yi[wy dh[xk hu[pb
君子易事而難說也	jy[xk zi[lh yi[ob ui[hk er[ek nj[yv uo[yb ye[vu
君子以文會友	jy[xk zi[lh yi[sr wf[wi hv[re yz[uy
君子一言以為知	jy[xk zi[lh yi[hh yj[we yi[sr ww[dl vi[uk
君子義以為上	jy[xk zi[lh yi[di yi[sr ww[dl uh[bh
君子義以為質	jy[xk zi[lh yi[di yi[sr ww[dl vi[pu
君子亦有惡乎	jy[xk zi[lh yi[wy yz[uo ee[hx hu[pb
君子亦有窮乎	jy[xk zi[lh yi[wy yz[uo qs[xl hu[pb
君子憂	jy[xk zi[lh yz[xy
君子有九思	jy[xk zi[lh yz[uo jq[pv si[tx
君子有三變	jy[xk zi[lh yz[uo sj[hh bm[yy
君子有三戒	jy[xk zi[lh yz[uo sj[hh jp[gc
君子有三畏	jy[xk zi[lh yz[uo sj[hh ww[th
君子有勇而無義為亂	jy[xk zi[lh yz[uo ys[sl er[ek wu[ee yi[di ww[dl lr[qv
君子欲訥於言而敏於行	jy[xk zi[lh yu[bd ne[yk yu[eu yj[we er[ek mb[rw yu[eu xk[rh
君子於其所不知	jy[xk zi[lh yu[eu qi[cb so[pj bu[eu vi[uk
君子於其言	jy[xk zi[lh yu[eu qi[cb yj[we
君子喻於義	jy[xk zi[lh yu[kr yu[eu yi[di
君子哉	jy[xk zi[lh zd[tk
君子哉蘧伯玉	jy[xk zi[lh zd[tk qu[ch bo[rb yu[wd
君子哉若人	jy[xk zi[lh zd[tk ro[cu rf[pd
君子者乎	jy[xk zi[lh ve[to hu[pb
君子貞而不諒	jy[xk zi[lh vf[bb er[ek bu[eu ll[yw
君子之道	jy[xk zi[lh vi[dv dc[bz
君子之德風	jy[xk zi[lh vi[dv de[ru fg[ji
君子質而已矣	jy[xk zi[lh vi[pu er[ek yi[kv yi[su
君子之過也	jy[xk zi[lh vi[dv go[cz ye[vu
君子之仕也	jy[xk zi[lh vi[dv ui[ru ye[vu
君子之於天下也	jy[xk zi[lh vi[dv yu[eu tm[hd xx[hb ye[vu
君子之至於斯也	jy[xk zi[lh vi[dv vi[ht yu[eu si[qj ye[vu
君子周而不比	jy[xk zi[lh vz[kt er[ek bu[eu bi[bb
君子周急不繼富	jy[xk zi[lh vz[kt ji[dx bu[eu ji[sm fu[gh
君子尊賢而容眾	jy[xk zi[lh zy[bc xm[ub er[ek rs[xr vs[rr
侃侃如也	kj[rk kj[rk ru[nk ye[vu
康子饋藥	kh[gx zi[lh kv[uv yc[cs
康子曰	kh[gx zi[lh yt[wh
可而為之者與	ke[dk er[ek ww[dl vi[dv ve[to yu[hv
克己復禮為仁	ke[ge ji[kv fu[ro li[uv ww[dl rf[re
可欺也	ke[dk qi[qd ye[vu
可使南面	ke[dk ui[rh nj[uk mm[ew
可使有勇	ke[dk ui[rh yz[uo ys[sl
可使足民	ke[dk ui[rh zu[kv mb[kv
可謂	ke[dk ww[yt
可謂大臣與	ke[dk ww[yt da[hr if[ku yu[hv
可謂好學也已矣	ke[dk ww[yt hc[nz xt[xz ye[vu yi[kv yi[su
可謂具臣矣	ke[dk ww[yt ju[jb if[ku yi[su
可謂明也已矣	ke[dk ww[yt mk[oo ye[vu yi[kv yi[su
可謂仁乎	ke[dk ww[yt rf[re hu[pb
可謂仁矣	ke[dk ww[yt rf[re yi[su
可謂仁之方也已	ke[dk ww[yt rf[re vi[dv fh[dw ye[vu yi[kv
可謂士	ke[dk ww[yt ui[uh
可謂士矣	ke[dk ww[yt ui[uh yi[su
可謂孝矣	ke[dk ww[yt xn[tz yi[su
可謂遠也已矣	ke[dk ww[yt yr[ez ye[vu yi[kv yi[su
可謂知乎	ke[dk ww[yt vi[uk hu[pb
可謂知矣	ke[dk ww[yt vi[uk yi[su
可也	ke[dk ye[vu
可以觀	ke[dk yi[sr gr[yj
可以寄百里之命	ke[dk yi[sr ji[gd bd[eo li[ot vi[dv mk[rh
可以群	ke[dk yi[sr qy[xy
可以託六尺之孤	ke[dk yi[sr to[fp lq[wb ii[ud vi[dv gu[zp
可以為難矣	ke[dk yi[sr ww[dl nj[yv yi[su
可以為仁矣	ke[dk yi[sr ww[dl rf[re yi[su
可以為師矣	ke[dk yi[sr ww[dl ui[uh yi[su
可以為文矣	ke[dk yi[sr ww[dl wf[wi yi[su
可以無大過矣	ke[dk yi[sr wu[ee da[hr go[cz yi[su
可以語上也	ke[dk yi[sr yu[yw uh[bh ye[vu
可以怨	ke[dk yi[sr yr[xx
可與共學	ke[dk yu[hv gs[gb xt[xz
可與立	ke[dk yu[hv li[lh
可與適道	ke[dk yu[hv ui[qz dc[bz
可與言而不與言	ke[dk yu[hv yj[we er[ek bu[eu yu[hv yj[we
可者與之	ke[dk ve[to yu[hv vi[dv
可知也	ke[dk vi[uk ye[vu
鏗爾	kg[ju er[dx
硜硜乎	kg[[ kg[[ hu[pb
硜硜然	kg[[ kg[[ rj[xd
悾悾而不信	ks[[ ks[[ er[ek bu[eu xb[ry
空空如也	ks[xg ks[xg ru[nk ye[vu
孔子不見	ks[zv zi[lh bu[eu jm[ke
孔子辭以疾	ks[zv zi[lh ci[ql yi[sr ji[bu
孔子對曰	ks[zv zi[lh dv[yc yt[wh
孔子過之	ks[zv zi[lh go[cz vi[dv
孔子沐浴而朝	ks[zv zi[lh mu[da yu[db er[ek ic[uo
孔子時其亡也	ks[zv zi[lh ui[oc qi[cb wh[wv ye[vu
孔子退	ks[zv zi[lh tv[gz
孔子謂季氏	ks[zv zi[lh ww[yt ji[hz ui[pq
孔子下	ks[zv zi[lh xx[hb
孔子行	ks[zv zi[lh xk[rh
孔子以其兄之子妻之	ks[zv zi[lh yi[sr qi[cb xs[ke vi[dv zi[lh qi[hn vi[dv
孔子於鄉黨	ks[zv zi[lh yu[eu xl[sp dh[xk
孔子與之坐而問焉	ks[zv zi[lh yu[hv vi[dv zo[rr er[ek wf[mk yj[hh
孔子曰	ks[zv zi[lh yt[wh
叩其脛	kz[ke qi[cb jk[os
膾不厭細	kk[or bu[eu yj[iq xi[st
寬則得眾	kr[gc ze[bd de[ro vs[rr
狂而不直	kl[qw er[ek bu[eu vi[uj
匡人其如予何	kl[kw rf[pd qi[cb ru[nk yu[sv he[rk
狂者進取	kl[qw ve[to jb[ez qu[ey
窺見室家之好	kv[xe jm[ke ui[gh jx[gu vi[dv hc[nz
困而不學	ky[wa er[ek bu[eu xt[xz
困而學之	ky[wa er[ek xt[xz vi[dv
來予與爾言	ld[hm yu[sv yu[hv er[dx yj[we
來者猶可追	ld[hm ve[to yz[qy ke[dk vv[pz
老而不死	lc[tb er[ek bu[eu si[hx
勞而不怨	lc[cl er[ek bu[eu yr[xx
牢曰	lc[gn yt[wh
樂必崩	le[px bi[xp bg[uo
樂道人之善	le[px dc[bz rf[pd vi[dv uj[yk
樂多賢友	le[px do[xx xm[ub yz[uy
樂而不淫	le[px er[ek bu[eu yb[da
樂驕樂	le[px jn[mp le[px
樂其可知也	le[px qi[cb ke[dk vi[uk ye[vu
樂然後笑	le[px rj[xd hz[pk xn[vp
樂宴樂	le[px yj[go le[px
樂以忘憂	le[px yi[sr wh[wx yz[xy
樂佚遊	le[px yi[rp yz[df
樂亦在其中矣	le[px yi[wy zd[ut qi[cb vs[ku yi[su
樂雲樂雲	le[px yy[es le[px yy[es
樂則韶	le[px ze[bd uc[ld
誄曰	lw[yl yt[wh
禮必壞	li[uv bi[xp hk[tb
立不中門	li[lh bu[eu vs[ku mf[du
力不足也	li[vp bu[eu zu[kv ye[vu
力不足者	li[vp bu[eu zu[kv ve[to
禮後乎	li[uv hz[pk hu[pb
犁牛之子騂且角	li[hn nq[pf vi[dv zi[lh xk[[ qp[ke jn[do
鯉趨而過庭	li[yo qu[zd er[ek go[cz tk[gq
里仁第四	li[ot rf[re di[vg si[we
里仁為美	li[ot rf[re ww[dl mw[bw
鯉退	li[yo tv[gz
鯉退而學禮	li[yo tv[gz er[ek xt[xz li[uv
禮也	li[uv ye[vu
鯉也死	li[yo ye[vu si[hx
禮以行之	li[uv yi[sr xk[rh vi[dv
立於禮	li[lh yu[eu li[uv
禮與其奢也	li[uv yu[hv qi[cb ue[dt ye[vu
禮樂不興	li[uv yt[px bu[eu xk[xb
禮雲禮雲	li[uv yy[es li[uv yy[es
立則見其參於前也	li[lh ze[bd jm[ke qi[cb cj[sd yu[eu qm[bo ye[vu
禮之用	li[uv vi[dv ys[ou
臨大節而不可奪也	lb[uv da[hr jp[ce er[ek bu[eu ke[dk do[dc ye[vu
林放問禮之本	lb[aa fh[fw wf[mk li[uv vi[dv bf[ah
臨喪不哀	lb[uv sh[ty bu[eu ai[wk
臨之以莊	lb[uv vi[dv yi[sr vl[gt
六十而耳順	lq[wb ui[hu er[ek er[hu uy[iy
柳下惠為士師	lq[ap xx[hb hv[hx ww[dl ui[uh ui[uh
魯人為長府	lu[yo rf[pd ww[dl vh[ph fu[gr
魯衛之政	lu[yo ww[eh vi[dv vg[hw
路文學	lu[zw wf[wi xt[xz
魯一變	lu[yo yi[hh bm[yy
祿在其中矣	lu[ux zd[ut qi[cb vs[ku yi[su
祿之去公室五世矣	lu[ux vi[dv qu[ts gs[bs ui[gh wu[hu ui[nv yi[su
亂邦不居	lr[qv bh[fe bu[eu ju[ug
亂也	lr[qv ye[vu
論篤是與	ly[yr du[vm ui[op yu[hv
屢空	lv[um ks[xg
慮以下人	lv[hx yi[sr xx[hb rf[pd
馬不進也	ma[vv bu[eu jb[ez ye[vu
麻冕	ma[ga mm[od
慢令致期謂之賊	mj[xo lk[rd vi[hw qi[qo ww[yt vi[dv zw[bg
貌思恭	mc[pb si[tx gs[gx
沒階	mw[dj jp[er
美目盼兮	mw[bw mu[we pj[mf xi[bk
每事問	mw[rm ui[hk wf[mk
門人不敬子路	mf[du rf[pd bu[eu jk[cw zi[lh lu[zw
門人厚葬之	mf[du rf[pd hz[io zh[ch vi[dv
門人惑	mf[du rf[pd ho[gx
門人問曰	mf[du rf[pd wf[mk yt[wh
門人慾厚葬之	mf[du rf[pd yu[bd hz[io zh[ch vi[dv
孟公綽為趙魏老則優	mg[zm gs[bs io[sb ww[dl vc[zi ww[hg lc[tb ze[bd yz[ry
孟敬子問之	mg[zm jk[cw zi[lh wf[mk vi[dv
孟氏使陽膚為士師	mg[zm ui[pq ui[rh yh[eo fu[oe ww[dl ui[uh ui[uh
孟孫問孝於我	mg[zm sy[zx wf[mk xn[tz yu[eu wo[pf
孟武伯問孝	mg[zm wu[hv bo[rb wf[mk xn[tz
孟懿子問孝	mg[zm yi[ud zi[lh wf[mk xn[tz
孟之反不伐	mg[zm vi[dv fj[py bu[eu fa[rg
孟莊子之孝也	mg[zm vl[gt zi[lh vi[dv xn[tz ye[vu
苗而不秀者有矣夫	mn[ct er[ek bu[eu xq[hn ve[to yz[uo yi[su fu[er
民到	mb[kv dc[hd
民到於今受其賜	mb[kv dc[hd yu[eu jb[rd uz[ay qi[cb ci[bo
民德歸厚矣	mb[kv de[ru gv[ux hz[io yi[su
民可使由之	mb[kv ke[dk ui[rh yz[ou vi[dv
民免而無恥	mb[kv mm[dk er[ek wu[ee ii[ev
民散久矣	mb[kv sj[gw jq[xd yi[su
民食喪祭	mb[kv ui[rl sh[ty ji[xe
民斯為下矣	mb[kv si[qj ww[dl xx[hb yi[su
民無得而稱焉	mb[kv wu[ee de[ro er[ek ig[hd yj[hh
民無德而稱焉	mb[kv wu[ee de[ru er[ek ig[hd yj[hh
民無能	mb[kv wu[ee ng[sb
民無信不立	mb[kv wu[ee xb[ry bu[eu li[lh
民鮮久矣	mb[kv xm[yy jq[xd yi[su
民信之矣	mb[kv xb[ry vi[dv yi[su
敏以求之者也	mb[rw yi[sr qq[hu vi[dv ve[to ye[vu
敏於事而慎於言	mb[rw yu[eu ui[hk er[ek uf[xu yu[eu yj[we
敏則有功	mb[rw ze[bd yz[uo gs[gl
民之於仁也	mb[kv vi[dv yu[eu rf[re ye[vu
閔子騫	mb[mw zi[lh qm[gm
閔子騫曰	mb[mw zi[lh qm[gm yt[wh
閔子侍側	mb[mw zi[lh ui[rt ce[rb
名不正	mk[xk bu[eu vg[hv
明日	mk[oo ri[wh
明日遂行	mk[oo ri[wh sv[bz xk[rh
名焉	mk[xk yj[hh
命也	mk[rh ye[vu
命矣夫	mk[rh yi[su fu[er
莫不有文武之道焉	mo[co bu[eu yz[uo wf[wi wu[hv vi[dv dc[bz yj[hh
沒齒無怨言	mo[dj ii[vr wu[ee yr[xx yj[we
莫春者	mo[co iy[so ve[to
磨而不磷	mo[ge er[ek bu[eu lb[em
默而識之	mo[hq er[ek ui[yk vi[dv
莫敢不服	mo[co gj[vw bu[eu fu[oe
莫己知也	mo[co ji[kv vi[uk ye[vu
莫能興	mo[co ng[sb xk[xb
莫我知也夫	mo[co wo[pf vi[uk ye[vu fu[er
莫吾猶人也	mo[co wu[wk yz[qy rf[pd ye[vu
末由也已	mo[ha yz[ou ye[vu yi[kv
莫予違也	mo[co yu[sv ww[wz ye[vu
末之難矣	mo[ha vi[dv nj[yv yi[su
末之也	mo[ha vi[dv ye[vu
某在斯	mz[ga zd[ut si[qj
南宮适出	nj[uk gs[gk ui[qz iu[ck
南宮适問於孔子曰	nj[uk gs[gk ui[qz wf[mk yu[eu ks[zv zi[lh yt[wh
難乎免於今之世矣	nj[yv hu[pb mm[dk yu[eu jb[rd vi[dv ui[nv yi[su
難乎有恆矣	nj[yv hu[pb yz[uo hg[xh yi[su
南人有言曰	nj[uk rf[pd yz[uo yj[we yt[wh
南容三復白圭	nj[uk rs[xr sj[hh fu[ro bd[po gv[tt
難矣哉	nj[yv yi[su zd[tk
難與併為仁矣	nj[yv yu[hv bk[bk ww[dl rf[re yi[su
內省不疚	nw[kr xk[xm bu[eu jq[bx
餒在其中矣	nw[ua zd[ut qi[cb vs[ku yi[su
能惡人	ng[sb ee[hx rf[pd
能竭其力	ng[sb jp[lo qi[cb li[vp
能近取譬	ng[sb jb[jz qu[ey pi[uy
能來也	ng[sb ld[hm ye[vu
能使	ng[sb ui[rh
能使枉者直	ng[sb ui[rh wh[aw ve[to vi[uj
能無從乎	ng[sb wu[ee cs[rr hu[pb
能勿誨乎	ng[sb wu[bp hv[yr hu[pb
能勿勞乎	ng[sb wu[bp lc[cl hu[pb
能無說乎	ng[sb wu[ee uo[yb hu[pb
能行五者於天下為仁矣	ng[sb xk[rh wu[hu ve[to yu[eu tm[hd xx[hb ww[dl rf[re yi[su
能以禮讓為國乎	ng[sb yi[sr li[uv rh[yu ww[dl go[ww hu[pb
能致其身	ng[sb vi[hw qi[cb uf[pu
麑裘	ni[[ qq[hy
年飢	nm[rn ji[uj
年四十而見惡焉	nm[rn si[we ui[hu er[ek jm[ke ee[hx yj[hh
鳥獸不可與同群	nn[nh uz[bh bu[eu ke[dk yu[hv ts[kh qy[xy
鳥之將死	nn[nh vi[dv jl[dx si[hx
涅而不緇	np[do er[ek bu[eu zi[sv
寧固	nk[gd gu[wg
寧儉	nk[gd jm[rr
寧媚於灶	nk[gd mw[nm yu[eu zc[ht
甯戚	nk[gd qi[wu
佞人殆	nk[re rf[pd dd[hs
佞也	nk[re ye[vu
女得人焉耳乎	nv[vp de[ro rf[pd yj[hh er[hu hu[pb
女弗能救與	nv[vp fu[gp ng[sb jq[hw yu[hv
女為君子儒	nv[vp ww[dl jy[xk zi[lh ru[ry
女為周南召南矣乎	nv[vp ww[dl vz[kt nj[uk vc[dk nj[uk yi[su hu[pb
女聞六言六蔽矣乎	nv[vp wf[me lq[wb yj[we lq[wb bi[cb yi[su hu[pb
女奚不曰	nv[vp xi[ay bu[eu yt[wh
女以予為多學而識之者與	nv[vp yi[sr yu[sv ww[dl do[xx xt[xz er[ek ui[yk vi[dv ve[to yu[hv
匏瓜也哉	pc[db gx[ps ye[vu zd[tk
陪臣執國命	pw[el if[ku vi[fj go[ww mk[rh
朋友切切偲偲	pg[oo yz[uy qp[qd qp[qd si[rt si[rt
朋友數	pg[oo yz[uy uu[mw
朋友死	pg[oo yz[uy si[hx
朋友之饋	pg[oo yz[uy vi[dv kv[uv
匹夫不可奪志也	pi[ke fu[er bu[eu ke[dk do[dc vi[ux ye[vu
譬如北辰	pi[uy ru[nk bw[ub if[ie
譬如平地	pi[uy ru[nk pk[hb di[ty
譬如為山	pi[uy ru[nk ww[dl uj[uk
譬之宮牆	pi[uy vi[dv gs[gk ql[tt
譬諸草木	pi[uy vu[yt cc[co mu[ub
譬諸小人	pi[uy vu[yt xn[ub rf[pd
偏其反而	pm[rh qi[cb fj[py er[ek
貧而無諂	pb[fb er[ek wu[ee ij[yd
貧而無怨難	pb[fb er[ek wu[ee yr[xx nj[yv
貧且賤焉	pb[fb qp[ke jm[bj yj[hh
貧與賤	pb[fb yu[hv jm[bj
屏四惡	pk[ub si[we ee[hx
其蔽也蕩	qi[cb bi[cb ye[vu dh[cd
其蔽也絞	qi[cb bi[cb ye[vu jn[sl
其蔽也狂	qi[cb bi[cb ye[vu kl[qw
其蔽也亂	qi[cb bi[cb ye[vu lr[qv
其蔽也愚	qi[cb bi[cb ye[vu yu[ox
其蔽也賊	qi[cb bi[cb ye[vu zw[bg
豈不爾思	qi[uk bu[eu er[dx si[tx
其不改父之臣	qi[cb bu[eu gd[kw fu[bi vi[dv if[ku
其不可者拒之	qi[cb bu[eu ke[dk ve[to ju[fk vi[dv
其不善者惡之	qi[cb bu[eu uj[yk ve[to ee[hx vi[dv
其不善者而改之	qi[cb bu[eu uj[yk ve[to er[ek gd[kw vi[dv
杞不足徵也	qi[ak bu[eu zu[kv vg[rh ye[vu
其次辟地	qi[cb ci[dd pi[ul di[ty
其次辟色	qi[cb ci[dd pi[ul se[db
其次辟言	qi[cb ci[dd pi[ul yj[we
其從之也	qi[cb cs[rr vi[dv ye[vu
其父攘羊	qi[cb fu[bi rh[fw yh[bs
齊何人也	qi[wp he[rk rf[pd ye[vu
其何傷於日月乎	qi[cb he[rk uh[rr yu[eu ri[wh yt[ke hu[pb
其何以行之哉	qi[cb he[rk yi[sr xk[rh vi[dv zd[tk
齊桓公正而不譎	qi[wp hr[ah gs[bs vg[hv er[ek bu[eu jt[yy
其回也與	qi[cb hv[wk ye[vu yu[hv
其或繼周者	qi[cb ho[gk ji[sm vz[kt ve[to
齊景公待孔子曰	qi[wp jk[ow gs[bs dd[rt ks[zv zi[lh yt[wh
齊景公問政於孔子	qi[wp jk[ow gs[bs wf[mk vg[hw yu[eu ks[zv zi[lh
齊景公有馬千駟	qi[wp jk[ow gs[bs yz[uo ma[vv qm[pu si[ms
其可謂至德也已矣	qi[cb ke[dk ww[yt vi[ht de[ru ye[vu yi[kv yi[su
其可已矣	qi[cb ke[dk yi[kv yi[su
期可已矣	qi[qo ke[dk yi[kv yi[su
其門而入	qi[cb mf[du er[ek ru[pd
其鳴也哀	qi[cb mk[kn ye[vu ai[wk
豈其然乎	qi[uk qi[cb rj[xd hu[pb
其親	qi[cb qb[la
其然	qi[cb rj[xd
其然也	qi[cb rj[xd ye[vu
齊人歸女樂	qi[wp rf[pd gv[ux nv[vp yt[px
其如示諸斯乎	qi[cb ru[nk ui[ex vu[yt si[qj hu[pb
豈若從辟世之士哉	qi[uk ro[cu cs[rr pi[ul ui[nv vi[dv ui[uh zd[tk
豈若匹夫匹婦之為諒也	qi[uk ro[cu pi[ke fu[er pi[ke fu[nx vi[dv ww[dl ll[yw ye[vu
其身不正	qi[cb uf[pu bu[eu vg[hv
其身正	qi[cb uf[pu vg[hv
其生也榮	qi[cb ug[pf ye[vu rs[ca
七十而從心所欲	qi[hv ui[hu er[ek cs[rr xb[dv so[pj yu[bd
其事也	qi[cb ui[hk ye[vu
其恕乎	qi[cb uu[nx hu[pb
其舜也與	qi[cb uy[ax ye[vu yu[hv
其斯而已矣	qi[cb si[qj er[ek yi[kv yi[su
其死也哀	qi[cb si[hx ye[vu ai[wk
其斯之謂與	qi[cb si[qj vi[dv ww[yt yu[hv
其他可能也	qi[cb ta[ry ke[dk ng[sb ye[vu
欺天乎	qi[qd tm[hd hu[pb
其未得之也	qi[cb ww[ha de[ro vi[dv ye[vu
其為仁	qi[cb ww[dl rf[re
其為人也	qi[cb ww[dl rf[pd ye[vu
其為人也孝弟	qi[cb ww[dl rf[pd ye[vu xn[tz di[bg
其為仁之本與	qi[cb ww[dl rf[re vi[dv bf[ah yu[hv
其惟聖人乎	qi[cb ww[xv ug[yt rf[pd hu[pb
其心三月不違仁	qi[cb xb[dv sj[hh yt[ke bu[eu ww[wz rf[re
其言不讓	qi[cb yj[we bu[eu rh[yu
其言似不足者	qi[cb yj[we si[rs bu[eu zu[kv ve[to
其言也訒	qi[cb yj[we ye[vu rf[[
其言也善	qi[cb yj[we ye[vu uj[yk
其言之不怍	qi[cb yj[we vi[dv bu[eu zo[xv
齊一變	qi[wp yi[hh bm[yy
期已久矣	qi[qo yi[kv jq[xd yi[su
其猶穿窬之盜也與	qi[cb yz[qy ir[xy yu[xr vi[dv dc[dm ye[vu yu[hv
其有所試矣	qi[cb yz[uo so[pj ui[yq yi[su
其由也與	qi[cb yz[ou ye[vu yu[hv
其猶正牆面而立也與	qi[cb yz[qy vg[hv ql[tt mm[ew er[ek li[lh ye[vu yu[hv
其餘不足觀也已	qi[cb yu[re bu[eu zu[kv gr[yj ye[vu yi[kv
啟予手	qi[hk yu[sv uz[su
其餘則日月至焉而已矣	qi[cb yu[re ze[bd ri[wh yt[ke vi[ht yj[hh er[ek yi[kv yi[su
起予者商也	qi[zk yu[sv ve[to uh[lk ye[vu
啟予足	qi[hk yu[sv zu[kv
其在宗廟朝廷	qi[cb zd[ut zs[ge mn[gy ic[uo tk[qj
其爭也君子	qi[cb vg[dx ye[vu jy[xk zi[lh
器之	qi[kq vi[dv
其至矣乎	qi[cb vi[ht yi[su hu[pb
齊之以禮	qi[wp vi[dv yi[sr li[uv
齊之以刑	qi[wp vi[dv yi[sr xk[kd
其終也已	qi[cb vs[sw ye[vu yi[kv
其諸異乎人之求之與	qi[cb vu[yt yi[kc hu[pb rf[pd vi[dv qq[hu vi[dv yu[hv
千乘之國	qm[pu ug[qb vi[dv go[ww
前言戲之耳	qm[bo yj[we xi[yg vi[dv er[hu
淺則揭	qm[dj ze[bd jp[fo
巧笑倩兮	qn[gk xn[vp qm[rf xi[bk
巧言令色	qn[gk yj[we lk[rd se[db
巧言亂德	qn[gk yj[we lr[qv de[ru
竊比於我老彭	qp[xq bi[bb yu[eu wo[pf lc[tb pg[up
且爾言過矣	qp[ke er[dx yj[we go[cz yi[su
且而與其從辟人之士	qp[ke er[ek yu[hv qi[cb cs[rr pi[ul rf[pd vi[dv ui[uh
切切偲偲	qp[qd qp[qd si[rt si[rt
切問而近思	qp[qd wf[mk er[ek jb[jz si[tx
且予與其死於臣之手也	qp[ke yu[sv yu[hv qi[cb si[hx yu[eu if[ku vi[dv uz[su ye[vu
且予縱	qp[ke yu[sv zs[sr
且在邦域之	qp[ke zd[ut bh[fe yu[tg vi[dv
且知方也	qp[ke vi[uk fh[dw ye[vu
寢不屍	qb[gd bu[eu ui[kp
寢不言	qb[gd bu[eu yj[we
親於其身為不善者	qb[la yu[eu qi[cb uf[pu ww[dl bu[eu uj[yk ve[to
請事斯語矣	qk[yf ui[hk si[qj yu[yw yi[su
請討之	qk[yf tc[yc vi[dv
請問其目	qk[yf wf[mk qi[cb mu[we
請問之	qk[yf wf[mk vi[dv
請學為圃	qk[yf xt[xz ww[dl pu[wf
請益	qk[yf yi[bm
求備焉	qq[hu bw[wt yj[hh
丘不	qq[jh bu[eu
求爾何如	qq[hu er[dx he[rk ru[nk
丘何為是棲棲者與	qq[jh he[rk ww[dl ui[op xi[ax xi[ax ve[to yu[hv
丘陵	qq[jh lk[et
求其志	qq[hu qi[cb vi[ux
求仁而得仁	qq[hu rf[re er[ek de[ro rf[re
求善賈而沽諸	qq[hu uj[yk jx[xb er[ek gu[dg vu[yt
丘未達	qq[jh ww[ha da[dz
求為可知也	qq[hu ww[dl ke[dk vi[uk ye[vu
求無乃爾是過與	qq[hu wu[ee nd[vp er[dx ui[op go[cz yu[hv
求也可使從政也與	qq[hu ye[vu ke[dk ui[rh cs[rr vg[hw ye[vu yu[hv
求也退	qq[hu ye[vu tv[gz
求也為之	qq[hu ye[vu ww[dl vi[dv
求也問聞斯行諸	qq[hu ye[vu wf[mk wf[me si[qj xk[rh vu[yt
丘也聞有國有家者	qq[jh ye[vu wf[me yz[uo go[ww yz[uo jx[gu ve[to
丘也幸	qq[jh ye[vu xk[tb
求也藝	qq[hu ye[vu yi[cv
丘之禱久矣	qq[jh vi[dv dc[uf jq[xd yi[su
求之與	qq[hu vi[dv yu[hv
去兵	qu[ts bk[qb
蘧伯玉使人於孔子	qu[ch bo[rb yu[wd ui[rh rf[pd yu[eu ks[zv zi[lh
趨而闢之	qu[zd er[ek pi[ul vi[dv
曲肱而枕之	qu[ou gs[ou er[ek vf[ag vi[dv
趨進	qu[zd jb[ez
去喪	qu[ts sh[ty
取瑟而歌	qu[ey se[wx er[ek ge[kd
去食	qu[ts ui[rl
區以別矣	qu[ki yi[sr bp[kd yi[su
闕黨童子將命	qt[mn dh[xk ts[lo zi[lh jl[dx mk[rh
群而不黨	qy[xy er[ek bu[eu dh[xk
群居終日	qy[xy ju[ug vs[sw ri[wh
然而未仁	rj[xd er[ek ww[ha rf[re
然非與	rj[xd fw[su yu[hv
然後君子	rj[xd hz[pk jy[xk zi[lh
然後免於父母之懷	rj[xd hz[pk mm[dk yu[eu fu[bi mu[vv vi[dv hk[xb
然後為學	rj[xd hz[pk ww[dl xt[xz
然後樂正	rj[xd hz[pk yt[px vg[hv
然乎	rj[xd hu[pb
冉求曰	rj[kt qq[hu yt[wh
冉求之藝	rj[kt qq[hu vi[dv yi[cv
冉有季	rj[kt yz[uo ji[hz
冉有季路見於孔子曰	rj[kt yz[uo ji[hz lu[zw jm[ke yu[eu ks[zv zi[lh yt[wh
冉有僕	rj[kt yz[uo pu[rb
冉有問	rj[kt yz[uo wf[mk
冉有曰	rj[kt yz[uo yt[wh
冉有子貢侃侃如也	rj[kt yz[uo zi[lh gs[gb kj[rk kj[rk ru[nk ye[vu
然則從之者與	rj[xd ze[bd cs[rr vi[dv ve[to yu[hv
然則管	rj[xd ze[bd gr[vg
然則師愈與	rj[xd ze[bd ui[uh yu[rx yu[hv
