阿巴卡韋	aa[ek ba[ku ka[ub ww[hh
鹿精培元膠囊	lu[gb jk[mf pw[tl yr[ee jn[ol nh[hk
顱聯體	lu[by lm[eb ti[ra
顱裂	lu[by lp[hy
路路通	lu[zw lu[zw ts[sz
路路通益母	lu[zw lu[zw ts[sz yi[bm mu[vv
路路通益母膏	lu[zw lu[zw ts[sz yi[bm mu[vv gc[wk
路路通注射液	lu[zw lu[zw ts[sz vu[dd ue[uc ye[dw
滷美他鬆軟膏	lu[bw mw[bw ta[ry ss[ab rr[id gc[wk
滷米松	lu[bw mi[ba ss[ab
滷米松單水合物	lu[bw mi[ba ss[ab dj[bo uv[uu he[rh wu[nb
滷米松乳膏	lu[bw mi[ba ss[ab ru[av gc[wk
滷米松三氯生	lu[bw mi[ba ss[ab sj[hh lv[qx ug[pf
滷米松三氯生乳膏	lu[bw mi[ba ss[ab sj[hh lv[qx ug[pf ru[av gc[wk
路密痛	lu[zw mi[gu ts[bs
魯米託品	lu[yo mi[ba to[fp pb[kk
顱面裂	lu[by mm[ew lp[hy
顱面形態	lu[by mm[ew xk[kp td[dx
魯南貝特	lu[yo nj[uk bw[kr te[nt
魯南力康	lu[yo nj[uk li[vp kh[gx
顱腦先天性畸形	lu[by nc[ow xm[ne tm[hd xk[xp ji[td xk[kp
顱內創傷性動脈瘤	lu[by nw[kr il[rd uh[rr xk[xp ds[el md[od lq[bp
顱內動靜脈畸形	lu[by nw[kr ds[el jk[fd md[od ji[td xk[kp
顱內動脈瘤	lu[by nw[kr ds[el md[od lq[bp
顱內感染	lu[by nw[kr gj[wx rj[da
顱內感染性動脈瘤	lu[by nw[kr gj[wx rj[da xk[xp ds[el md[od lq[bp
顱內海綿狀血管瘤	lu[by nw[kr hd[dr mm[sb vl[dq xt[pm gr[vg lq[bp
顱內夾層動脈瘤	lu[by nw[kr jx[hb cg[ue ds[el md[od lq[bp
顱內假性動脈瘤	lu[by nw[kr jx[rk xk[xp ds[el md[od lq[bp
顱內靜脈畸形	lu[by nw[kr jk[fd md[od ji[td xk[kp
顱內毛細管擴張	lu[by nw[kr mc[sv xi[st gr[vg ko[fg vh[gi
顱內先天性動脈瘤	lu[by nw[kr xm[ne tm[hd xk[xp ds[el md[od lq[bp
顱內血管畸形	lu[by nw[kr xt[pm gr[vg ji[td xk[kp
顱內壓增高	lu[by nw[kr ya[it zg[tb gc[wk
顱內異物	lu[by nw[kr yi[kc wu[nb
顱內轉移瘤	lu[by nw[kr vr[ie yi[hx lq[bp
滷普羅近	lu[bw pu[bo lo[sx jb[jz
鹿茸	lu[gb rs[ce
鹿茸參鞭	lu[gb rs[ce cj[sd bm[gr
鹿茸參鞭酒	lu[gb rs[ce cj[sd bm[gr jq[dy
鹿茸膠	lu[gb rs[ce jn[ol
鹿茸精	lu[gb rs[ce jk[mf
鹿茸精注射液	lu[gb rs[ce jk[mf vu[dd ue[uc ye[dw
鹿蓉顆粒	lu[gb rs[cx ke[oy li[ml
鹿茸口服液	lu[gb rs[ce kz[uv fu[oe ye[dw
鹿茸片	lu[gb rs[ce pm[pu
鹿茸洋参	lu[gb rs[ce yh[dy uf[sd
鹿茸洋参片	lu[gb rs[ce yh[dy uf[sd pm[pu
蘆沙坦鉀片	lu[ch ua[dx tj[to jx[jo pm[pu
鹿腎	lu[gb uf[uo
陸氏潤字	lu[ef ui[pq ry[dm zi[gz
陸氏潤字丸	lu[ef ui[pq ry[dm zi[gz wj[jd
魯氏酯	lu[yo ui[pq vi[yb
鹿首安神	lu[gb uz[be an[gn uf[uo
鹿首安神顆粒	lu[gb uz[be an[gn uf[uo ke[oy li[ml
露疏	lu[yz uu[pw
露水草	lu[yz uv[uu cc[co
露水草膠囊	lu[yz uv[uu cc[co jn[ol nh[hk
鷺鷥咯	lu[zn si[sn ge[kw
鷺鷥咯丸	lu[zn si[sn ge[kw wj[jd
路斯開	lu[zw si[qj kd[hc
鷺鷥咳丸	lu[zn si[sn ke[kw wj[jd
露髓	lu[yz sv[gu
蘆筍	lu[ch sy[vx
蘆筍菠蘿蛋白酶	lu[ch sy[vx bo[cd lo[cs dj[pi bd[po mw[yr
蘆筍菠蘿蛋白酶膠囊	lu[ch sy[vx bo[cd lo[cs dj[pi bd[po mw[yr jn[ol nh[hk
蘆筍膠囊	lu[ch sy[vx jn[ol nh[hk
蘆筍顆粒	lu[ch sy[vx ke[oy li[ml
蘆筍片	lu[ch sy[vx pm[pu
盧梭小體	lu[bu so[as xn[ub ti[ra
鹿胎	lu[gb td[os
鹿胎膏	lu[gb td[os gc[wk
鹿胎膠囊	lu[gb td[os jn[ol nh[hk
鹿胎顆粒	lu[gb td[os ke[oy li[ml
顱痛寧	lu[by ts[bs nk[gd
顱痛寧顆粒	lu[by ts[bs nk[gd ke[oy li[ml
顱外	lu[by wd[xb
鹿尾	lu[gb ww[um
鹿尾鞭酒	lu[gb ww[um bm[gr jq[dy
鹿尾補腎	lu[gb ww[um bu[yb uf[uo
鹿尾補腎丸	lu[gb ww[um bu[yb uf[uo wj[jd
路維芬	lu[zw ww[sv ff[cf
蘆芛膠囊	lu[ch ww[[ jn[ol nh[hk
顱狹	lu[by xx[qj
鹿仙補腎	lu[gb xm[ru bu[yb uf[uo
鹿仙補腎口服液	lu[gb xm[ru bu[yb uf[uo kz[uv fu[oe ye[dw
鹿仙補腎片	lu[gb xm[ru bu[yb uf[uo pm[pu
鹿銜草	lu[gb xm[rj cc[co
鹿血	lu[gb xt[pm
顱咽管瘤	lu[by yj[kw gr[vg lq[bp
鹿陽強腎膠囊	lu[gb yh[eo ql[gk uf[uo jn[ol nh[hk
路因鹼	lu[zw yb[wd jm[ew
露齦笑	lu[yz yb[vg xn[vp
陸英	lu[ef yk[ck
陸英顆粒	lu[ef yk[ck ke[oy li[ml
陸英片	lu[ef yk[ck pm[pu
陸英糖漿	lu[ef yk[ck th[mg jl[du
路優泰	lu[zw yz[ry td[su
顱中窩腦膜瘤	lu[by vs[ku wo[xk nc[ow mo[oc lq[bp
蘆竹根	lu[ch vu[rr gf[ag
鹿珠口服液	lu[gb vu[wp kz[uv fu[oe ye[dw
卵鞍	lr[pe an[gg
卵巢冠	lr[pe ic[vo gr[ge
卵巢生長因子	lr[pe ic[vo ug[pf vh[ph yb[wd zi[lh
卵巢素	lr[pe ic[vo su[fy
卵巢移植	lr[pe ic[vo yi[hx vi[au
卵睪	lr[pe gc[pt
卵黃	lr[pe hl[gy
卵黃蛋白	lr[pe hl[gy dj[pi bd[po
卵黃蛋白原	lr[pe hl[gy dj[pi bd[po yr[ib
卵黃高磷蛋白	lr[pe hl[gy gc[wk lb[em dj[pi bd[po
卵黃管	lr[pe hl[gy gr[vg
卵黃磷蛋白	lr[pe hl[gy lb[em dj[pi bd[po
卵黃膜	lr[pe hl[gy mo[oc
卵黃囊	lr[pe hl[gy nh[hk
卵黃配基	lr[pe hl[gy pw[yk ji[qt
卵黃腔	lr[pe hl[gy ql[ox
卵黃球	lr[pe hl[gy qq[wh
卵黃生成	lr[pe hl[gy ug[pf ig[wv
卵黃栓	lr[pe hl[gy ur[ar
卵黃脂蛋白	lr[pe hl[gy vi[ob dj[pi bd[po
卵巨球蛋白	lr[pe ju[kk qq[wh dj[pi bd[po
卵菌綱	lr[pe jy[cw gh[sk
卵殼蛋白	lr[pe ke[ug dj[pi bd[po
卵孔	lr[pe ks[zv
卵裂	lr[pe lp[hy
卵磷脂	lr[pe lb[em vi[ob
卵磷脂絡合碘	lr[pe lb[em vi[ob lo[sw he[rh dm[ed
卵磷脂片	lr[pe lb[em vi[ob pm[pu
卵膜	lr[pe mo[oc
卵母細胞	lr[pe mu[vv xi[st bc[ob
卵泡腔	lr[pe pc[db ql[ox
卵配	lr[pe pw[yk
卵清	lr[pe qk[df
卵清蛋白	lr[pe qk[df dj[pi bd[po
卵丘	lr[pe qq[jh
卵球蛋白	lr[pe qq[wh dj[pi bd[po
攣縮性瘢痕	lr[yf so[sg xk[xp bj[bv hf[bg
卵吸收	lr[pe xi[kj uz[vw
卵圓孔	lr[pe yr[wk ks[zv
卵圓窩	lr[pe yr[wk wo[xk
卵原細胞	lr[pe yr[ib xi[st bc[ob
卵運鐵傳遞蛋白	lr[pe yy[ez tp[jp ir[re di[bz dj[pi bd[po
卵粘蛋白	lr[pe vj[mb dj[pi bd[po
亂真計數	lr[qv vf[uj ji[yu uu[mw
卵質	lr[pe vi[pu
卵子發生	lr[pe zi[lh fa[vy ug[pf
輪蟲綱	ly[ir is[ks gh[sk
輪環藤酚鹼	ly[ir hr[wb tg[co ff[yf jm[ew
輪環藤寧鹼	ly[ir hr[wb tg[co nk[gd jm[ew
輪匝帶	ly[ir za[kj dd[cj
輪狀病毒酶標診斷試劑盒	ly[ir vl[dq bk[bh du[fm mw[yr bn[ae vf[yr dr[mj ui[yq ji[wd he[rm
輪狀病毒疫苗	ly[ir vl[dq bk[bh du[fm yi[bj mn[ct
蘿巴新	lo[cs ba[ku xb[lj
洛貝林	lo[dw bw[kr lb[aa
洛貝林注射液	lo[dw bw[kr lb[aa vu[dd ue[uc ye[dw
羅吡卡因	lo[sx bi[kb ka[ub yb[wd
洛鉑	lo[dw bo[jb
蘿蔔紅	lo[cs bo[ud hs[sg
羅伯遜易位	lo[sx bo[rb xy[zz yi[ob ww[rl
羅補甫克比日丸	lo[sx bu[yb fu[uo ke[ge bi[bb ri[wh wj[jd
羅布麻	lo[sx bu[uj ma[ga
羅布麻茶	lo[sx bu[uj ma[ga ia[cr
羅布麻降壓	lo[sx bu[uj ma[ga jl[ew ya[it
羅布麻降壓片	lo[sx bu[uj ma[ga jl[ew ya[it pm[pu
羅布麻浸膏	lo[sx bu[uj ma[ga jb[dx gc[wk
羅布麻葉	lo[sx bu[uj ma[ga ye[ku
羅布麻葉顆粒	lo[sx bu[uj ma[ga ye[ku ke[oy li[ml
羅布麻葉片	lo[sx bu[uj ma[ga ye[ku pm[pu
洛布桑	lo[dw bu[uj sh[ya
洛布桑膠囊	lo[dw bu[uj sh[ya jn[ol nh[hk
洛布桑口服液	lo[dw bu[uj sh[ya kz[uv fu[oe ye[dw
蘿菜鹼	lo[cs cd[ca jm[ew
螺蛋白酶	lo[it dj[pi bd[po mw[yr
羅丹明	lo[sx dj[kw mk[oo
絡德	lo[sw de[ru
洛度沙胺	lo[dw du[gn ua[dx an[og
洛度沙胺氨丁三醇	lo[dw du[gn ua[dx an[og an[qg dk[hu sj[hh iy[yw
洛度沙胺氨丁三醇滴眼液	lo[dw du[gn ua[dx an[og an[qg dk[hu sj[hh iy[yw di[dl yj[mg ye[dw
洛恩	lo[dw en[wx
洛伐他汀	lo[dw fa[rg ta[ry tk[dd
洛伐他汀分散片	lo[dw fa[rg ta[ry tk[dd ff[bd sj[gw pm[pu
洛伐他汀膠囊	lo[dw fa[rg ta[ry tk[dd jn[ol nh[hk
洛伐他汀顆粒	lo[dw fa[rg ta[ry tk[dd ke[oy li[ml
洛伐他汀片	lo[dw fa[rg ta[ry tk[dd pm[pu
洛法新	lo[dw fa[dt xb[lj
洛菲	lo[dw fw[cf
羅非昔布	lo[sx fw[su xi[go bu[uj
羅非昔布片	lo[sx fw[su xi[go bu[uj pm[pu
洛非西定	lo[dw fw[su xi[hk dk[gp
洛非西定片	lo[dw fw[su xi[hk dk[gp pm[pu
洛芬待因	lo[dw ff[cf dd[rt yb[wd
洛芬待因緩釋片	lo[dw ff[cf dd[rt yb[wd hr[sa ui[py pm[pu
洛芬待因片	lo[dw ff[cf dd[rt yb[wd pm[pu
洛芬葡鋅那敏	lo[dw ff[cf pu[cb xb[jl na[ve mb[rw
洛芬葡鋅那敏片	lo[dw ff[cf pu[cb xb[jl na[ve mb[rw pm[pu
螺粉蕊黃楊鹼	lo[it ff[mf rv[cx hl[gy yh[av jm[ew
洛芬太尼	lo[dw ff[cf td[dd ni[ub
洛芬偽麻片	lo[dw ff[cf ww[rd ma[ga pm[pu
洛芙	lo[dw fu[ce
蘿芙木	lo[cs fu[ce mu[ub
蘿芙木片	lo[cs fu[ce mu[ub pm[pu
羅浮山百草油	lo[sx fu[da uj[uk bd[eo cc[co yz[dy
羅浮山風溼	lo[sx fu[da uj[uk fg[ji ui[do
羅浮山風溼膏藥	lo[sx fu[da uj[uk fg[ji ui[do gc[wk yc[cs
羅浮山涼茶	lo[sx fu[da uj[uk ll[dw ia[cr
羅浮山涼茶顆粒	lo[sx fu[da uj[uk ll[dw ia[cr ke[oy li[ml
羅蓋全	lo[sx gd[bm qr[rw
羅蓋全膠丸	lo[sx gd[bm qr[rw jn[ol wj[jd
羅格列酮	lo[sx ge[aw lp[hd ts[yk
羅格列酮鈉	lo[sx ge[aw lp[hd ts[yk na[jk
羅格列酮鈉片	lo[sx ge[aw lp[hd ts[yk na[jk pm[pu
羅格列酮片	lo[sx ge[aw lp[hd ts[yk pm[pu
絡貫健	lo[sw gr[mb jm[ry
羅漢茶化濁顆粒	lo[sx hj[dy ia[cr hx[rq vo[di ke[oy li[ml
羅漢果	lo[sx hj[dy go[oa
羅漢果茶	lo[sx hj[dy go[oa ia[cr
羅漢果菊花顆粒	lo[sx hj[dy go[oa ju[cb hx[cr ke[oy li[ml
羅漢果銀花	lo[sx hj[dy go[oa yb[jg hx[cr
羅漢果銀花含片	lo[sx hj[dy go[oa yb[jg hx[cr hj[rk pm[pu
羅漢果玉竹	lo[sx hj[dy go[oa yu[wd vu[rr
羅漢果玉竹顆粒	lo[sx hj[dy go[oa yu[wd vu[rr ke[oy li[ml
羅漢果止咳	lo[sx hj[dy go[oa vi[uh ke[kw
羅漢果止咳膏	lo[sx hj[dy go[oa vi[uh ke[kw gc[wk
羅漢果止咳片	lo[sx hj[dy go[oa vi[uh ke[kw pm[pu
羅漢果止咳糖漿	lo[sx hj[dy go[oa vi[uh ke[kw th[mg jl[du
羅漢松酸	lo[sx hj[dy ss[ab sr[ys
絡合碘	lo[sw he[rh dm[ed
羅紅黴素	lo[sx hs[sg mw[yr su[fy
羅紅黴素分散片	lo[sx hs[sg mw[yr su[fy ff[bd sj[gw pm[pu
羅紅黴素幹混懸劑	lo[sx hs[sg mw[yr su[fy gj[hu hy[do xr[qx ji[wd
羅紅黴素緩釋片	lo[sx hs[sg mw[yr su[fy hr[sa ui[py pm[pu
羅紅黴素膠囊	lo[sx hs[sg mw[yr su[fy jn[ol nh[hk
羅紅黴素顆粒	lo[sx hs[sg mw[yr su[fy ke[oy li[ml
羅紅黴素片	lo[sx hs[sg mw[yr su[fy pm[pu
落花參	lo[cd hx[cr cj[sd
落花參片	lo[cd hx[cr cj[sd pm[pu
裸花紫珠	lo[yo hx[cr zi[vy vu[wp
裸花紫珠膠囊	lo[yo hx[cr zi[vy vu[wp jn[ol nh[hk
裸花紫珠口服液	lo[yo hx[cr zi[vy vu[wp kz[uv fu[oe ye[dw
裸花紫珠片	lo[yo hx[cr zi[vy vu[wp pm[pu
裸花紫珠栓	lo[yo hx[cr zi[vy vu[wp ur[ar
羅黃降壓	lo[sx hl[gy jl[ew ya[it
羅黃降壓片	lo[sx hl[gy jl[ew ya[it pm[pu
絡活喜	lo[sw ho[dq xi[uk
洛吉	lo[dw ji[uk
邏輯機	lo[sz ji[ik ji[aj
羅己降壓	lo[sx ji[kv jl[ew ya[it
羅己降壓片	lo[sx ji[kv jl[ew ya[it pm[pu
螺菌	lo[it jy[cw
洛卡	lo[dw ka[ub
洛凱	lo[dw kd[uj
洛珂	lo[dw ke[wk
洛柯鹼	lo[dw ke[ak jm[ew
洛克林藥盒	lo[dw ke[ge lb[aa yc[cs he[rm
羅可曼	lo[sx ke[dk mj[os
洛克氏液	lo[dw ke[ge ui[pq ye[dw
洛柯因	lo[dw ke[ak yb[wd
羅庫溴銨	lo[sx ku[gi xq[dz an[jg
羅庫溴銨注射液	lo[sx ku[gi xq[dz an[jg vu[dd ue[uc ye[dw
落葵	lo[cd kv[cd
羅蘭多骨折	lo[sx lj[bs do[xx gu[ko ve[fj
羅蘭絲	lo[sx lj[bs si[sh
羅勒烯	lo[sx le[gl xi[hi
羅勒烯酮	lo[sx le[gl xi[hi ts[yk
羅立薩	lo[sx li[lh sa[ce
瘰癧性皮膚結核	lo[bt li[bi xk[xp pi[vp fu[oe jp[su he[aw
瘰癧性苔蘚	lo[bt li[bi xk[xp td[cs xm[cy
羅霖康	lo[sx lb[ya kh[gx
裸麥醇溶蛋白	lo[yo md[fw iy[yw rs[dx dj[pi bd[po
裸麥角鹼	lo[yo md[fw jn[do jm[ew
裸麥角菌鹼	lo[yo md[fw jn[do jy[cw jm[ew
羅邁新	lo[sx md[wz xb[lj
洛美康	lo[dw mw[bw kh[gx
羅每樂	lo[sx mw[rm le[px
洛美沙星	lo[dw mw[bw ua[dx xk[op
洛美沙星滴耳液	lo[dw mw[bw ua[dx xk[op di[dl er[hu ye[dw
洛美沙星滴眼液	lo[dw mw[bw ua[dx xk[op di[dl yj[mg ye[dw
洛美沙星膠囊	lo[dw mw[bw ua[dx xk[op jn[ol nh[hk
洛美沙星顆粒	lo[dw mw[bw ua[dx xk[op ke[oy li[ml
洛美沙星片	lo[dw mw[bw ua[dx xk[op pm[pu
洛美沙星乳膏	lo[dw mw[bw ua[dx xk[op ru[av gc[wk
洛美沙星注射液	lo[dw mw[bw ua[dx xk[op vu[dd ue[uc ye[dw
洛米克思	lo[dw mi[ba ke[ge si[tx
蘿藦蛋白	lo[cs mo[[ dj[pi bd[po
蘿藦蛋白酶	lo[cs mo[[ dj[pi bd[po mw[yr
籮摩米寧	lo[vs mo[gf mi[ba nk[gd
洛莫司汀	lo[dw mo[co si[vh tk[dd
洛莫司汀膠囊	lo[dw mo[co si[vh tk[dd jn[ol nh[hk
蘿藦酸	lo[cs mo[[ sr[ys
螺內酯	lo[it nw[kr vi[yb
螺內酯膠囊	lo[it nw[kr vi[yb jn[ol nh[hk
螺內酯片	lo[it nw[kr vi[yb pm[pu
螺內酯噻嗪	lo[it nw[kr vi[yb sd[kg qb[ks
羅尼	lo[sx ni[ub
洛哌丁胺	lo[dw pd[kp dk[hu an[og
洛哌丁胺膠囊	lo[dw pd[kp dk[hu an[og jn[ol nh[hk
洛哌丁胺顆粒	lo[dw pd[kp dk[hu an[og ke[oy li[ml
洛哌丁胺片	lo[dw pd[kp dk[hu an[og pm[pu
羅哌卡因	lo[sx pd[kp ka[ub yb[wd
羅哌卡因注射液	lo[sx pd[kp ka[ub yb[wd vu[dd ue[uc ye[dw
洛普佳	lo[dw pu[bo jx[rt
螺普利	lo[it pu[bo li[hd
洛普欣	lo[dw pu[bo xb[jd
洛普星	lo[dw pu[bo xk[op
羅奇卡環	lo[sx qi[dk ka[ub hr[wb
洛慶	lo[dw qk[gd
洛屈	lo[dw qu[ui
羅蕘愫	lo[sx rc[cq su[xf
洛賽克	lo[dw sd[gb ke[ge
洛塞克	lo[dw sd[gt ke[ge
洛賽克膠囊	lo[dw sd[gb ke[ge jn[ol nh[hk
羅塞秦	lo[sx sd[gt qb[sh
羅沙米星	lo[sx ua[dx mi[ba xk[op
羅沙米星磷酸鈉	lo[sx ua[dx mi[ba xk[op lb[em sr[ys na[jk
洛沙平	lo[dw ua[dx pk[hb
羅氏芬	lo[sx ui[pq ff[cf
絡石藤	lo[sw ui[ek tg[co
羅氏鹽	lo[sx ui[pq yj[tm
裸鼠	lo[yo uu[jv
洛斯寶	lo[dw si[qj bc[gw
洛索洛芬	lo[dw so[uy lo[dw ff[cf
洛索洛芬鈉	lo[dw so[uy lo[dw ff[cf na[jk
洛索洛芬鈉膠囊	lo[dw so[uy lo[dw ff[cf na[jk jn[ol nh[hk
洛索洛芬鈉顆粒	lo[dw so[uy lo[dw ff[cf na[jk ke[oy li[ml
洛索洛芬鈉片	lo[dw so[uy lo[dw ff[cf na[jk pm[pu
羅他黴素	lo[sx ta[ry mw[yr su[fy
絡泰	lo[sw td[su
蘿藤安神	lo[cs tg[co an[gn uf[uo
蘿藤安神片	lo[cs tg[co an[gn uf[uo pm[pu
洛亭	lo[dw tk[wd
洛汀新	lo[dw tk[dd xb[lj
絡通	lo[sw ts[sz
絡通酊	lo[sw ts[sz dk[yd
羅通定	lo[sx ts[sz dk[gp
羅痛定	lo[sx ts[bs dk[gp
羅痛定片	lo[sx ts[bs dk[gp pm[pu
羅痛定注射液	lo[sx ts[bs dk[gp vu[dd ue[uc ye[dw
駱駝篷鹼	lo[mw to[mg pg[vw jm[ew
駱駝蓬鹼片	lo[mw to[mg pg[cw jm[ew pm[pu
洛威	lo[dw ww[wh
洛偉克	lo[dw ww[rw ke[ge
螺紋導管	lo[it wf[sw dc[kc gr[vg
洛沃克	lo[dw wo[dp ke[ge
洛希	lo[dw xi[iu
裸細胞	lo[yo xi[st bc[ob
羅西維林	lo[sx xi[hk ww[sv lb[aa
洛欣	lo[dw xb[jd
絡欣寧	lo[sw xb[jd nk[gd
絡欣平	lo[sw xb[jd pk[hb
羅欣威	lo[sx xb[jd ww[wh
螺旋瓣	lo[it xr[fr bj[lp
螺旋部	lo[it xr[fr bu[le
螺旋骨折	lo[it xr[fr gu[ko ve[fj
螺旋結構	lo[it xr[fr jp[su gz[ab
螺旋捲曲轉變	lo[it xr[fr jr[be qu[ou vr[ie bm[yy
螺旋菌	lo[it xr[fr jy[cw
螺旋黴素	lo[it xr[fr mw[yr su[fy
螺旋黴素膠囊	lo[it xr[fr mw[yr su[fy jn[ol nh[hk
螺旋黴素片	lo[it xr[fr mw[yr su[fy pm[pu
螺旋內酯固醇	lo[it xr[fr nw[kr vi[yb gu[wg iy[yw
螺旋式掃描	lo[it xr[fr ui[qg sc[fx mn[fc
螺旋鬆解蛋白	lo[it xr[fr ss[ab jp[dd dj[pi bd[po
螺旋體	lo[it xr[fr ti[ra
螺旋藻	lo[it xr[fr zc[cd
螺旋藻膠囊	lo[it xr[fr zc[cd jn[ol nh[hk
螺旋藻片	lo[it xr[fr zc[cd pm[pu
螺旋質體	lo[it xr[fr vi[pu ti[ra
螺旋種植體	lo[it xr[fr vs[hv vi[au ti[ra
螺血紅蛋白	lo[it xt[pm hs[sg dj[pi bd[po
洛雅	lo[dw ya[yv
落葉型天皰瘡	lo[cd ye[ku xk[kt tm[hd pc[bb il[br
洛意	lo[dw yi[lx
羅音	lo[sx yb[lo
絡瘀通	lo[sw yu[bf ts[sz
絡瘀通膠囊	lo[sw yu[bf ts[sz jn[ol nh[hk
裸藻酮	lo[yo zc[cd ts[yk
羅珍	lo[sx vf[wr
羅珍膠囊	lo[sx vf[wr jn[ol nh[hk
氯胺	lv[qx an[og
氯胺酮	lv[qx an[og ts[yk
氯胺酮注射液	lv[qx an[og ts[yk vu[dd ue[uc ye[dw
氯巴佔	lv[qx ba[ku vj[bk
氯貝丁酯	lv[qx bw[kr dk[hu vi[yb
氯貝丁酯膠囊	lv[qx bw[kr dk[hu vi[yb jn[ol nh[hk
氯貝酸鈣	lv[qx bw[kr sr[ys gd[jx
氯貝酸鋁	lv[qx bw[kr sr[ys lv[jk
氯貝酸鋁片	lv[qx bw[kr sr[ys lv[jk pm[pu
氯倍他索	lv[qx bw[rl ta[ry so[uy
氯苯並噻嗪	lv[qx bf[ca bk[bk sd[kg qb[ks
氯苯達諾	lv[qx bf[ca da[dz no[yc
氯苯甘醚	lv[qx bf[ca gj[nh mi[ym
氯苯甘醚氨酯	lv[qx bf[ca gj[nh mi[ym an[qg vi[yb
氯苯那敏	lv[qx bf[ca na[ve mb[rw
氯苯那敏滴丸	lv[qx bf[ca na[ve mb[rw di[dl wj[jd
氯苯那敏緩釋膠囊	lv[qx bf[ca na[ve mb[rw hr[sa ui[py jn[ol nh[hk
氯苯那敏片	lv[qx bf[ca na[ve mb[rw pm[pu
氯苯那敏霜	lv[qx bf[ca na[ve mb[rw ul[ya
氯苯那敏注射液	lv[qx bf[ca na[ve mb[rw vu[dd ue[uc ye[dw
氯吡格雷	lv[qx bi[kb ge[aw lw[yt
氯吡拉敏	lv[qx bi[kb la[fl mb[rw
氯吡林	lv[qx bi[kb lb[aa
氯丙咪嗪	lv[qx bk[hk mi[km qb[ks
氯丙咪嗪片	lv[qx bk[hk mi[km qb[ks pm[pu
氯丙咪注射液	lv[qx bk[hk mi[km vu[dd ue[uc ye[dw
氯丙那林	lv[qx bk[hk na[ve lb[aa
氯丙那林片	lv[qx bk[hk na[ve lb[aa pm[pu
氯丙嗪	lv[qx bk[hk qb[ks
氯丙嗪片	lv[qx bk[hk qb[ks pm[pu
氯丙嗪異丙嗪注射液	lv[qx bk[hk qb[ks yi[kc bk[hk qb[ks vu[dd ue[uc ye[dw
氯丙嗪注射液	lv[qx bk[hk qb[ks vu[dd ue[uc ye[dw
氯波必利	lv[qx bo[dp bi[xp li[hd
氯波必利片	lv[qx bo[dp bi[xp li[hd pm[pu
驢補血膠囊	lv[mh bu[yb xt[pm jn[ol nh[hk
葎草	lv[[ cc[co
葎草香苦酮	lv[[ cc[co xl[ho ku[cg ts[yk
鋁瓷冠	lv[jk ci[dw gr[ge
氯醋甲膽鹼	lv[qx cu[yg jx[ou dj[oo jm[ew
氯達香豆素	lv[qx da[dz xl[ho dz[hk su[fy
氯氮平	lv[qx dj[qh pk[hb
氯氮平片	lv[qx dj[qh pk[hb pm[pu
氯氮卓	lv[qx dj[qh vo[bo
氯氮卓片	lv[qx dj[qh vo[bo pm[pu
氯地孕酮	lv[qx di[ty yy[nz ts[yk
氯碘喹啉	lv[qx dm[ed kv[kd lb[ka
氯碘喹啉乳膏	lv[qx dm[ed kv[kd lb[ka ru[av gc[wk
氯碘羥喹	lv[qx dm[ed ql[ys kv[kd
氯碘羥喹乳膏	lv[qx dm[ed ql[ys kv[kd ru[av gc[wk
律定方	lv[ry dk[gp fh[dw
氯丁替諾	lv[qx dk[hu ti[eo no[yc
綠萼點舌	lv[sx ee[ck dm[bd ue[qk
綠萼點舌丸	lv[sx ee[ck dm[bd ue[qk wj[jd
綠萼梅	lv[sx ee[ck mw[ar
氯噁唑倫	lv[qx ee[[ zo[kr ly[rr
氯法齊明	lv[qx fa[dt qi[wp mk[oo
氯法齊明膠丸	lv[qx fa[dt qi[wp mk[oo jn[ol wj[jd
氯法齊明軟膠囊	lv[qx fa[dt qi[wp mk[oo rr[id jn[ol nh[hk
氯仿	lv[qx fh[rf
氯仿牙膠	lv[qx fh[rf ya[hv jn[ol
氯非那胺	lv[qx fw[su na[ve an[og
氯芬待因	lv[qx ff[cf dd[rt yb[wd
氯芬待因複方片	lv[qx ff[cf dd[rt yb[wd fu[ro fh[dw pm[pu
氯酚待因複方片	lv[qx ff[yf dd[rt yb[wd fu[ro fh[dw pm[pu
氯芬待因片	lv[qx ff[cf dd[rt yb[wd pm[pu
氯芬黃敏	lv[qx ff[cf hl[gy mb[rw
氯芬黃敏片	lv[qx ff[cf hl[gy mb[rw pm[pu
氯芬那酸	lv[qx ff[cf na[ve sr[ys
氯芬那酸片	lv[qx ff[cf na[ve sr[ys pm[pu
氯氟舒松	lv[qx fu[qf uu[ry ss[ab
氯氟舒鬆軟膏	lv[qx fu[qf uu[ry ss[ab rr[id gc[wk
氯氟舒松塗劑	lv[qx fu[qf uu[ry ss[ab tu[dr ji[wd
氯氟卓乙酯	lv[qx fu[qf vo[bo yi[vv vi[yb
氯高鐵血紅素	lv[qx gc[wk tp[jp xt[pm hs[sg su[fy
氯高鐵原卟啉	lv[qx gc[wk tp[jp yr[ib bu[kb lb[ka
氯胍	lv[qx gx[op
濾過分數	lv[dh go[cz ff[bd uu[mw
濾過性水溶性	lv[dh go[cz xk[xp uv[uu rs[dx xk[xp
氯化銨	lv[qx hx[rq an[jg
氯化銨甘草口服液	lv[qx hx[rq an[jg gj[nh cc[co kz[uv fu[oe ye[dw
氯化氨汞	lv[qx hx[rq an[qg gs[gu
