阿比可糖	aa[ek bi[bb ke[dk th[mg
莖幹	jk[cs gj[hu
晶杆	jk[oo gj[ag
晶格假說	jk[oo ge[aw jx[rk uo[yb
鯨骨	jk[yw gu[ko
莖骨板	jk[cs gu[ko bj[ap
脛骨粗隆骨軟骨病	jk[os gu[ko cu[mq ls[ew gu[ko rr[id gu[ko bk[bh
脛骨肌	jk[os gu[ko ji[oj
脛骨假關節	jk[os gu[ko jx[rk gr[bt jp[ce
經股靜脈插管	jk[ss gu[oj jk[fd md[od ia[fq gr[vg
脛骨內翻	jk[os gu[ko nw[kr fj[px
脛骨外翻	jk[os gu[ko wd[xb fj[px
精管	jk[mf gr[vg
精管膨腔	jk[mf gr[vg pg[ou ql[ox
精核	jk[mf he[aw
精核染色體	jk[mf he[aw rj[da se[db ti[ra
脛後肌	jk[os hz[pk ji[oj
莖化錐	jk[cs hx[rq vv[jv
莖環結構	jk[cs hr[wb jp[su gz[ab
經會陰活檢	jk[ss hv[re yb[eo ho[dq jm[ar
經會陰前列腺切除術	jk[ss hv[re yb[eo qm[bo lp[hd xm[ob qp[qd iu[er uu[ad
莖基	jk[cs ji[qt
莖基鱗莖	jk[cs ji[qt lb[ym jk[cs
經濟密度	jk[ss ji[dw mi[gu du[gn
精莢	jk[mf jx[cj
精加壓催產素	jk[mf jx[lk ya[it cv[ru ij[lp su[fy
鏡檢	jk[jl jm[ar
莖尖培養	jk[cs jm[xd pw[tl yh[yp
鏡檢術	jk[jl jm[ar uu[ad
徑角度	jk[rs jn[do du[gn
頸交感神經	jk[sy jn[li gj[wx uf[uo jk[ss
脛腳肢	jk[os jn[ot vi[ou
脛節	jk[os jp[ce
莖節	jk[cs jp[ce
頸節	jk[sy jp[ce
警戒色	jk[cy jp[gc se[db
肼解作用	jk[oe jp[dd zo[rv ys[ou
經頸靜脈膽管造影	jk[ss jk[sy jk[fd md[od dj[oo gr[vg zc[nz yk[op
頸靜脈	jk[sy jk[fd md[od
頸靜脈擴張	jk[sy jk[fd md[od ko[fg vh[gi
經靜脈起搏器	jk[ss jk[fd md[od qi[zk bo[ff qi[kq
脛距	jk[os ju[zk
驚厥	jk[xw jt[in
驚厥反射	jk[xw jt[in fj[py ue[uc
淨角器	jk[dd jt[do qi[kq
經絕期	jk[ss jt[sd qi[qo
頸頦角	jk[sy ke[wy jn[do
經口鼻蝶竇入路	jk[ss kz[uv bi[zt dp[in dz[xu ru[pd lu[zw
鏡口率	jk[jl kz[uv lv[wu
經口明視插管	jk[ss kz[uv mk[oo ui[uj ia[fq gr[vg
經口入路	jk[ss kz[uv ru[pd lu[zw
經眶入路	jk[ss kl[mk ru[pd lu[zw
頸闊肌	jk[sy ko[md ji[oj
頸闊肌懸韌帶	jk[sy ko[md ji[oj xr[qx rf[wd dd[cj
鯨蠟	jk[yw la[ig
鯨蠟烯酸	jk[yw la[ig xi[hi sr[ys
頸肋	jk[sy lw[ol
靜力性運動	jk[fd li[vp xk[xp yy[ez ds[el
靜力懸吊	jk[fd li[vp xr[qx dn[kj
頸鱗	jk[sy lb[ym
頸淋巴管阻塞序列徵	jk[sy lb[da ba[ku gr[vg zu[eq se[gt xu[gy lp[hd vg[rh
精漏斗	jk[mf lz[du dz[du
痙攣肌電刺激療法	jk[bs lr[yf ji[oj dm[ov ci[cd ji[db ln[bl fa[dt
痙攣鹼	jk[bs lr[yf jm[ew
經卵裂	jk[ss lr[pe lp[hy
經卵裂溝	jk[ss lr[pe lp[hy gz[db
頸卵器	jk[sy lr[pe qi[kq
頸卵器柄	jk[sy lr[pe qi[kq bk[ah
頸卵器套	jk[sy lr[pe qi[kq tc[di
頸卵器植物	jk[sy lr[pe qi[kq vi[au wu[nb
痙攣線	jk[bs lr[yf xm[sj
痙攣性腸梗阻	jk[bs lr[yf xk[xp ih[ov gg[ah zu[eq
痙攣性瞼外翻	jk[bs lr[yf xk[xp jm[mr wd[xb fj[px
痙攣狀態	jk[bs lr[yf vl[dq td[dx
靜脈搏動圖	jk[fd md[od bo[ff ds[el tu[ww
靜脈搏描記圖	jk[fd md[od bo[ff mn[fc ji[yk tu[ww
靜脈波圖	jk[fd md[od bo[dp tu[ww
靜脈插管輸液	jk[fd md[od ia[fq gr[vg uu[ir ye[dw
靜脈出血	jk[fd md[od iu[ck xp[pm
靜脈叢	jk[fd md[od cs[rh
靜脈膽管造影	jk[fd md[od dj[oo gr[vg zc[nz yk[op
靜脈膽囊造影	jk[fd md[od dj[oo nh[hk zc[nz yk[op
靜脈動脈化皮瓣	jk[fd md[od ds[el md[od hx[rq pi[vp bj[lp
靜脈動脈化遊離皮瓣	jk[fd md[od ds[el md[od hx[rq yz[df li[wk pi[vp bj[lp
靜脈竇	jk[fd md[od dz[xu
靜脈竇分流術	jk[fd md[od dz[xu ff[bd lq[dw uu[ad
靜脈竇血栓形成	jk[fd md[od dz[xu xt[pm ur[ar xk[kp ig[wv
靜脈竇綜合徵	jk[fd md[od dz[xu zs[sg he[rh vg[rh
靜脈分流術	jk[fd md[od ff[bd lq[dw uu[ad
靜脈高營養	jk[fd md[od gc[wk yk[ck yh[yp
靜脈湖	jk[fd md[od hu[dg
靜脈迴流	jk[fd md[od hv[wk lq[dw
靜脈迴流管路	jk[fd md[od hv[wk lq[dw gr[vg lu[zw
靜脈局部麻醉	jk[fd md[od ju[uv bu[le ma[ga zv[yw
靜脈麻醉	jk[fd md[od ma[ga zv[yw
靜脈麻醉藥	jk[fd md[od ma[ga zv[yw yc[cs
靜脈脈搏	jk[fd md[od md[od bo[ff
靜脈毛細管	jk[fd md[od mc[sv xi[st gr[vg
靜脈內膜炎	jk[fd md[od nw[kr mo[oc yj[hh
靜脈內氧合	jk[fd md[od nw[kr yh[qy he[rh
靜脈皮瓣	jk[fd md[od pi[vp bj[lp
靜脈切開	jk[fd md[od qp[qd kd[hc
靜脈切開術	jk[fd md[od qp[qd kd[hc uu[ad
靜脈曲張形成	jk[fd md[od qu[ou vh[gi xk[kp ig[wv
靜脈曲張性潰瘍	jk[fd md[od qu[ou vh[gi xk[xp kv[dv yh[bv
靜脈輸血	jk[fd md[od uu[ir xt[pm
靜脈系	jk[fd md[od xi[py
靜脈象	jk[fd md[od xl[dk
靜脈血動脈化	jk[fd md[od xt[pm ds[el md[od hx[rq
靜脈血迴流	jk[fd md[od xt[pm hv[wk lq[dw
靜脈血栓形成	jk[fd md[od xt[pm ur[ar xk[kp ig[wv
靜脈血壓	jk[fd md[od xt[pm ya[it
靜脈炎	jk[fd md[od yj[hh
靜脈炎後綜合徵	jk[fd md[od yj[hh hz[pk zs[sg he[rh vg[rh
靜脈移植	jk[fd md[od yi[hx vi[au
靜脈硬化	jk[fd md[od yk[eh hx[rq
靜脈遊離皮辯	jk[fd md[od yz[df li[wk pi[vp bm[ly
靜脈淤滯	jk[fd md[od yu[df vi[dc
靜脈造影	jk[fd md[od zc[nz yk[op
靜脈造影照片	jk[fd md[od zc[nz yk[op vc[od pm[pu
靜脈周炎	jk[fd md[od vz[kt yj[hh
靜脈貯血器	jk[fd md[od vu[bg xt[pm qi[kq
靜脈轉流術	jk[fd md[od vr[ie lq[dw uu[ad
精密附著體	jk[mf mi[gu fu[er vo[ym ti[ra
經迷路入路	jk[ss mi[mz lu[zw ru[pd lu[zw
精密支託	jk[mf mi[gu vi[uy to[fp
精母細胞	jk[mf mu[vv xi[st bc[ob
精母細胞發生	jk[mf mu[vv xi[st bc[ob fa[vy ug[pf
精囊癌	jk[mf nh[hk ai[bk
精囊放線菌病	jk[mf nh[hk fh[fw xm[sj jy[cw bk[bh
精囊結核	jk[mf nh[hk jp[su he[aw
精囊結石	jk[mf nh[hk jp[su ui[ek
精囊裂口	jk[mf nh[hk lp[hy kz[uv
精囊梅毒	jk[mf nh[hk mw[ar du[fm
精囊囊腫	jk[mf nh[hk nh[hk vs[ov
精囊切除術	jk[mf nh[hk qp[qd iu[er uu[ad
精囊球	jk[mf nh[hk qq[wh
精囊石	jk[mf nh[hk ui[ek
精囊腺癌	jk[mf nh[hk xm[ob ai[bk
精囊造影	jk[mf nh[hk zc[nz yk[op
精囊腫瘤	jk[mf nh[hk vs[ov lq[bp
頸內動脈	jk[sy nw[kr ds[el md[od
頸內動脈海綿竇瘻	jk[sy nw[kr ds[el md[od hd[dr mm[sb dz[xu lz[bm
經內聽道入路	jk[ss nw[kr tk[kj dc[bz ru[pd lu[zw
經尿道活檢	jk[ss nn[uu dc[bz ho[dq jm[ar
經尿道膀胱頸切開術	jk[ss nn[uu dc[bz ph[ol gl[ox jk[sy qp[qd kd[hc uu[ad
經尿道前列腺切除	jk[ss nn[uu dc[bz qm[bo lp[hd xm[ob qp[qd iu[er
經尿道前列腺切開	jk[ss nn[uu dc[bz qm[bo lp[hd xm[ob qp[qd kd[hc
靜配子	jk[fd pw[yk zi[lh
莖皮	jk[cs pi[vp
經皮	jk[ss pi[vp
經皮電刺激神經療法	jk[ss pi[vp dm[ov ci[cd ji[db uf[uo jk[ss ln[bl fa[dt
經皮經肝膽管造影	jk[ss pi[vp jk[ss gj[og dj[oo gr[vg zc[nz yk[op
經皮膀胱造口術	jk[ss pi[vp ph[ol gl[ox zc[nz kz[uv uu[ad
經皮起搏器	jk[ss pi[vp qi[zk bo[ff qi[kq
經皮腎動脈造影	jk[ss pi[vp uf[uo ds[el md[od zc[nz yk[op
經皮腎鏡取石術	jk[ss pi[vp uf[uo jk[jl qu[ey ui[ek uu[ad
經皮腎造瘻術	jk[ss pi[vp uf[uo zc[nz lz[bm uu[ad
經皮吸收	jk[ss pi[vp xi[kj uz[vw
經皮吸收劑	jk[ss pi[vp xi[kj uz[vw ji[wd
經皮氧監測	jk[ss pi[vp yh[qy jm[um ce[db
經皮針刺肺活檢	jk[ss pi[vp vf[ju ci[cd fw[oh ho[dq jm[ar
頸片	jk[sy pm[pu
經胼胝體入路	jk[ss pm[ob vi[ou ti[ra ru[pd lu[zw
脛前黏液水腫	jk[os qm[bo nm[hb ye[dw uv[uu vs[ov
脛前著色斑	jk[os qm[bo vo[ym se[db bj[ww
經顴顳入路	jk[ss qr[cy np[ey ru[pd lu[zw
精入道	jk[mf ru[pd dc[bz
晶砂	jk[oo ua[ex
經篩蝶竇入路	jk[ss ud[vu dp[in dz[xu ru[pd lu[zw
精神變態者	jk[mf uf[uo bm[yy td[dx ve[to
精神病學家	jk[mf uf[uo bk[bh xt[xz jx[gu
精神遲鈍	jk[mf uf[uo ii[uz dy[jt
精神電流計	jk[mf uf[uo dm[ov lq[dw ji[yu
精神動力學	jk[mf uf[uo ds[el li[vp xt[xz
精神發生學	jk[mf uf[uo fa[vy ug[pf xt[xz
精神發育遲緩	jk[mf uf[uo fa[vy yu[wo ii[uz hr[sa
精神靜力學	jk[mf uf[uo jk[fd li[vp xt[xz
精神療法	jk[mf uf[uo ln[bl fa[dt
精神生物學	jk[mf uf[uo ug[pf wu[nb xt[xz
精神外科	jk[mf uf[uo wd[xb ke[hd
精神性疼痛	jk[mf uf[uo xk[xp tg[bw ts[bs
精神抑制藥	jk[mf uf[uo yi[fp vi[nd yc[cs
精神診斷	jk[mf uf[uo vf[yr dr[mj
精神治療藥物	jk[mf uf[uo vi[ds ln[bl yc[cs wu[nb
腈水解酶	jk[of uv[uu jp[dd mw[yr
靜水群落	jk[fd uv[uu qy[xy lo[cd
靜水生物	jk[fd uv[uu ug[pf wu[nb
莖絲體	jk[cs si[sh ti[ra
精索癌	jk[mf so[uy ai[bk
精索附睪絲蟲病	jk[mf so[uy fu[er gc[pt si[sh is[ks bk[bh
精索靜脈	jk[mf so[uy jk[fd md[od
精索靜脈曲張切除術	jk[mf so[uy jk[fd md[od qu[ou vh[gi qp[qd iu[er uu[ad
精索扭轉	jk[mf so[uy nq[fi vr[ie
精索皮樣囊腫	jk[mf so[uy pi[vp yh[ay nh[hk vs[ov
精索肉瘤	jk[mf so[uy rz[kr lq[bp
精索水囊腫	jk[mf so[uy uv[uu nh[hk vs[ov
精索纖維瘤	jk[mf so[uy xm[sq ww[sv lq[bp
精索炎	jk[mf so[uy yj[hh
精索脂肪瘤	jk[mf so[uy vi[ob fh[of lq[bp
精索腫瘤	jk[mf so[uy vs[ov lq[bp
精索周炎	jk[mf so[uy vz[kt yj[hh
靜態暗間隙	jk[fd td[dx an[ol jm[mo xi[ex
鏡臺玻片移動鈕	jk[jl td[sk bo[wp pm[pu yi[hx ds[el nq[ji
鏡臺測微尺	jk[jl td[sk ce[db ww[ru ii[ud
晶態水分子團	jk[oo td[dx uv[uu ff[bd zi[lh tr[wc
頸體	jk[sy ti[ra
晶體蛋白	jk[oo ti[ra dj[pi bd[po
晶體點陣	jk[oo ti[ra dm[bd vf[ei
晶體結構分析	jk[oo ti[ra jp[su gz[ab ff[bd xi[aj
晶體類膠原	jk[oo ti[ra lw[md jn[ol yr[ib
晶體滲透壓	jk[oo ti[ra uf[ds tz[hz ya[it
晶體心臟停搏液	jk[oo ti[ra xb[dv zh[og tk[rw bo[ff ye[dw
晶體形成	jk[oo ti[ra xk[kp ig[wv
晶體懸液	jk[oo ti[ra xr[qx ye[dw
晶體學點群	jk[oo ti[ra xt[xz dm[bd qy[xy
晶體學切變	jk[oo ti[ra xt[xz qp[qd bm[yy
晶體血液稀釋	jk[oo ti[ra xt[pm ye[dw xi[hi ui[py
景天庚	jk[ow tm[hd gg[gx
景天庚醛糖	jk[ow tm[hd gg[gx qr[yc th[mg
景天庚酮糖	jk[ow tm[hd gg[gx ts[yk th[mg
景天科	jk[ow tm[hd ke[hd
痙跳病	jk[bs tn[zv bk[bh
脛聽器	jk[os tk[kj qi[kq
莖突	jk[cs tu[xq
脛窩	jk[os wo[xk
頸細胞	jk[sy xi[st bc[ob
晶細胞	jk[oo xi[st bc[ob
精細胞	jk[mf xi[st bc[ob
精細胞變態	jk[mf xi[st bc[ob bm[yy td[dx
靜息孢子	jk[fd xi[zx bc[zb zi[lh
靜息電位	jk[fd xi[zx dm[ov ww[rl
精細管	jk[mf xi[st gr[vg
靜息核	jk[fd xi[zx he[aw
精細節構	jk[mf xi[st jp[ce gz[ab
精細結構	jk[mf xi[st jp[su gz[ab
精細結構遺傳學圖	jk[mf xi[st jp[su gz[ab yi[vz ir[re xt[xz tu[ww
精細覺	jk[mf xi[st jt[xj
靜息能量消耗	jk[fd xi[zx ng[sb ll[oh xn[dx hc[lm
靜息期	jk[fd xi[zx qi[qo
靜息態	jk[fd xi[zx td[dx
靜息細胞	jk[fd xi[zx xi[st bc[ob
靜息心排出量	jk[fd xi[zx xb[dv pd[ff iu[ck ll[oh
靜息子	jk[fd xi[zx zi[lh
經酰胺	jk[ss xm[yn an[og
靜纖毛	jk[fd xm[sq mc[sv
景相	jk[ow xl[am
徑向免疫擴散	jk[rs xl[pk mm[dk yi[bj ko[fg sj[gw
鏡像手	jk[jl xl[rd uz[su
徑向稀釋	jk[rs xl[pk xi[hi ui[py
徑向展開層析	jk[rs xl[pk vj[ug kd[hc cg[ue xi[aj
徑向展開色譜法	jk[rs xl[pk vj[ug kd[hc se[db pu[yb fa[dt
經小腦幕入路	jk[ss xn[ub nc[ow mu[cj ru[pd lu[zw
頸須	jk[sy xu[py
鯨鬚	jk[yw xu[py
鯨學	jk[yw xt[xz
經驗風險	jk[ss yj[mr fg[ji xm[er
精液蛋白	jk[mf ye[dw dj[pi bd[po
精液分泌	jk[mf ye[dw ff[bd mi[dx
精液過多	jk[mf ye[dw go[cz do[xx
精液囊腫	jk[mf ye[dw nh[hk vs[ov
精液囊腫切除術	jk[mf ye[dw nh[hk vs[ov qp[qd iu[er uu[ad
精液凝固酶	jk[mf ye[dw nk[db gu[wg mw[yr
精液生成	jk[mf ye[dw ug[pf ig[wv
莖葉體	jk[cs ye[ku ti[ra
莖葉植物	jk[cs ye[ku vi[au wu[nb
莖葉植物亞界	jk[cs ye[ku vi[au wu[nb ya[hy jp[tr
精原論	jk[mf yr[ib ly[yr
精源論者	jk[mf yr[di ly[yr ve[to
精源說者	jk[mf yr[di uo[yb ve[to
莖原絲	jk[cs yr[ib si[sh
精原細胞	jk[mf yr[ib xi[st bc[ob
競爭排斥原理	jk[lk vg[dx pd[ff ii[jd yr[ib li[wo
競爭細胞	jk[lk vg[dx xi[st bc[ob
競爭性層析法	jk[lk vg[dx xk[xp cg[ue xi[aj fa[dt
競爭性反應	jk[lk vg[dx xk[xp fj[py yk[gx
競爭性結合	jk[lk vg[dx xk[xp jp[su he[rh
競爭性抑制	jk[lk vg[dx xk[xp yi[fp vi[nd
競爭性抑制劑	jk[lk vg[dx xk[xp yi[fp vi[nd ji[wd
淨櫛	jk[dd vi[ac
精脂	jk[mf vi[ob
經直腸活檢	jk[ss vi[uj ih[ov ho[dq jm[ar
靜止負重相	jk[fd vi[uh fu[db vs[ph xl[am
脛肢節	jk[os vi[ou jp[ce
頸支抗	jk[sy vi[uy kh[fw
靜止囊腫	jk[fd vi[uh nh[hk vs[ov
靜置培養	jk[fd vi[su pw[tl yh[yp
靜止期	jk[fd vi[uh qi[qo
經支氣管肺活檢	jk[ss vi[uy qi[rh gr[vg fw[oh ho[dq jm[ar
靜止齲	jk[fd vi[uh qu[vp
靜止熱	jk[fd vi[uh re[fd
靜止生長期	jk[fd vi[uh ug[pf vh[ph qi[qo
靜止痛	jk[fd vi[uh ts[bs
淨植物性生產	jk[dd vi[au wu[nb xk[xp ug[pf ij[lp
靜止性牙周炎	jk[fd vi[uh xk[xp ya[hv vz[kt yj[hh
靜止中心	jk[fd vi[uh vs[ku xb[dv
莖周部	jk[cs vz[kt bu[le
精珠子	jk[mf vu[wp zi[lh
晶狀體基板	jk[oo vl[dq ti[ra ji[qt bj[ap
晶狀體囊	jk[oo vl[dq ti[ra nh[hk
晶狀體泡	jk[oo vl[dq ti[ra pc[db
晶錐	jk[oo vv[jv
頸椎融合綜合徵	jk[sy vv[av rs[hi he[rh zs[sg he[rh vg[rh
精子包囊	jk[mf zi[lh bc[bk nh[hk
精子痤	jk[mf zi[lh co[br
精子毒素	jk[mf zi[lh du[fm su[fy
精子發生	jk[mf zi[lh fa[vy ug[pf
精子核酸	jk[mf zi[lh he[aw sr[ys
精子獲得受精的能力	jk[mf zi[lh ho[cq de[ro uz[ay jk[mf de[bb ng[sb li[vp
精子減少	jk[mf zi[lh jm[dw uc[xp
精子結合蛋白	jk[mf zi[lh jp[su he[rh dj[pi bd[po
精子囊	jk[mf zi[lh nh[hk
精子凝集	jk[mf zi[lh nk[db ji[va
精子凝集素	jk[mf zi[lh nk[db ji[va su[fy
精子器	jk[mf zi[lh qi[kq
精子器細胞	jk[mf zi[lh qi[kq xi[st bc[ob
精子器載體	jk[mf zi[lh qi[kq zd[ti ti[ra
精子腔	jk[mf zi[lh ql[ox
精子溶解	jk[mf zi[lh rs[dx jp[dd
精子溶素	jk[mf zi[lh rs[dx su[fy
精子生成	jk[mf zi[lh ug[pf ig[wv
精子束	jk[mf zi[lh uu[hk
精子託	jk[mf zi[lh to[fp
精子細胞	jk[mf zi[lh xi[st bc[ob
精子形成	jk[mf zi[lh xk[kp ig[wv
精子形成障礙	jk[mf zi[lh xk[kp ig[wv vh[el ai[eo
精子學	jk[mf zi[lh xt[xz
精子原生質	jk[mf zi[lh yr[ib ug[pf vi[pu
精子中體	jk[mf zi[lh vs[ku ti[ra
窘迫排洩	js[xx po[bz pd[ff xp[dn
九倍體	jq[pv bw[rl ti[ra
九倍性	jq[pv bw[rl xk[xp
舊稱甲烯藍	jq[uo ig[hd jx[ou xi[hi lj[cu
舊稱騙	jq[uo ig[hd pm[mh
舊大腦皮質	jq[uo da[hr nc[ow pi[vp vi[pu
酒二糖	jq[dy er[hh th[mg
九分法	jq[pv ff[bd fa[dt
酒紅斑	jq[dy hs[sg bj[ww
酒化酶	jq[dy hx[rq mw[yr
酒酵母	jq[dy jn[yt mu[vv
酒酵母甾醇	jq[dy jn[yt mu[vv zd[vt iy[yw
舊結核菌素	jq[uo jp[su he[aw jy[cw su[fy
酒精比重計	jq[dy jk[mf bi[bb vs[ph ji[yu
酒精沉澱試驗	jq[dy jk[mf if[dg dm[dg ui[yq yj[mr
酒精發酵	jq[dy jk[mf fa[vy jn[yt
酒精酵母	jq[dy jk[mf jn[yt mu[vv
酒精性肝硬化	jq[dy jk[mf xk[xp gj[og yk[eh hx[rq
酒精製劑	jq[dy jk[mf vi[nd ji[wd
酒精中毒昏迷	jq[dy jk[mf vs[ku du[fm hy[uo mi[mz
酒黴素	jq[dy mw[yr su[fy
就眠性	jq[wy mm[mm xk[xp
舊皮質	jq[uo pi[vp vi[pu
舊石器時代人種志	jq[uo ui[ek qi[kq ui[oc dd[rq rf[pd vs[hv vi[ux
酒石酸	jq[dy ui[ek sr[ys
臼突	jq[pu tu[xq
就位道	jq[wy ww[rl dc[bz
鳩尾峽	jq[jn ww[um xx[uj
鳩尾形	jq[jn ww[um xk[kp
舊紋狀體	jq[uo wf[sw vl[dq ti[ra
舊小腦	jq[uo xn[ub nc[ow
酒氧化酶	jq[dy yh[qy hx[rq mw[yr
臼葉	jq[pu ye[ku
就業前評定	jq[wy ye[ub qm[bo pk[yp dk[gp
就業前訓練	jq[wy ye[ub qm[bo xy[yi lm[sq
聚氨基葡糖	ju[ep an[qg ji[qt pu[cb th[mg
聚氨基酸	ju[ep an[qg ji[qt sr[ys
具凹	ju[jb ao[uv
具凹萌發孔	ju[jb ao[uv mg[co fa[vy ks[zv
具苞	ju[jb bc[cb
具壁胞體	ju[jb bi[ut bc[ob ti[ra
聚丙烯酰胺	ju[ep bk[hk xi[hi xm[yn an[og
聚丙烯酰胺凝膠	ju[ep bk[hk xi[hi xm[yn an[og nk[db jn[ol
聚丙烯酰胺凝膠電泳	ju[ep bk[hk xi[hi xm[yn an[og nk[db jn[ol dm[ov ys[dd
聚丙酰胺凝膠電泳	ju[ep bk[hk xm[yn an[og nk[db jn[ol dm[ov ys[dd
局部比對	ju[uv bu[le bi[bb dv[yc
局部多汗	ju[uv bu[le do[xx hj[dg
局部多汗症	ju[uv bu[le do[xx hj[dg vg[bh
局部二倍體	ju[uv bu[le er[hh bw[rl ti[ra
局部分泌腺	ju[uv bu[le ff[bd mi[dx xm[ob
局部過敏	ju[uv bu[le go[cz mb[rw
局部過敏反應	ju[uv bu[le go[cz mb[rw fj[py yk[gx
局部接合子	ju[uv bu[le jp[fl he[rh zi[lh
局部解剖	ju[uv bu[le jp[dd pz[ld
局部解剖學	ju[uv bu[le jp[dd pz[ld xt[xz
局部抗菌治療	ju[uv bu[le kh[fw jy[cw vi[ds ln[bl
局部抗真菌治療	ju[uv bu[le kh[fw vf[uj jy[cw vi[ds ln[bl
居布勒綜合徵	ju[ug bu[uj le[gl zs[sg he[rh vg[rh
局部麻醉	ju[uv bu[le ma[ga zv[yw
局部麻醉藥	ju[uv bu[le ma[ga zv[yw yc[cs
局部免疫	ju[uv bu[le mm[dk yi[bj
局部皮瓣	ju[uv bu[le pi[vp bj[lp
局部缺血	ju[uv bu[le qt[pv xt[pm
局部群叢	ju[uv bu[le qy[xy cs[rh
局部融合	ju[uv bu[le rs[hi he[rh
局部推進皮瓣移植術	ju[uv bu[le tv[fv jb[ez pi[vp bj[lp yi[hx vi[au uu[ad
局部洗消	ju[uv bu[le xi[dn xn[dx
局部旋轉皮瓣移植術	ju[uv bu[le xr[fr vr[ie pi[vp bj[lp yi[hx vi[au uu[ad
局部血流	ju[uv bu[le xt[pm lq[dw
局部異構酶	ju[uv bu[le yi[kc gz[ab mw[yr
局部抑制	ju[uv bu[le yi[fp vi[nd
局部最低能量	ju[uv bu[le zv[oe di[ru ng[sb ll[oh
巨成紅細胞	ju[kk ig[wv hs[sg xi[st bc[ob
拒斥劑	ju[fk ii[jd ji[wd
具齒蠟孔	ju[jb ii[vr la[ig ks[zv
鋸齒列	ju[ju ii[vr lp[hd
鋸齒形圖式	ju[ju ii[vr xk[kp tu[ww ui[qg
具翅胸	ju[jb ii[ux xs[ob
鋸齒狀切口	ju[ju ii[vr vl[dq qp[qd kz[uv
拒蟲劑	ju[fk is[ks ji[wd
巨脣	ju[kk iy[ik
具刺腹片	ju[jb ci[cd fu[or pm[pu
聚簇晶體	ju[ep cu[vf jk[oo ti[ra
巨大發育	ju[kk da[hr fa[vy yu[wo
巨大肥厚性胃炎	ju[kk da[hr fw[ob hz[io xk[xp ww[to yj[hh
巨大畸形	ju[kk da[hr ji[td xk[kp
巨大尖銳溼疣	ju[kk da[hr jm[xd rv[jb ui[do yz[by
巨大色素痣	ju[kk da[hr se[db su[fy vi[bu
巨大腎積水	ju[kk da[hr uf[uo ji[hk uv[uu
巨大細胞	ju[kk da[hr xi[st bc[ob
巨大芽孢菌素	ju[kk da[hr ya[cy bc[zb jy[cw su[fy
巨大牙骨質瘤	ju[kk da[hr ya[hv gu[ko vi[pu lq[bp
巨大有核紅細胞	ju[kk da[hr yz[uo he[aw hs[sg xi[st bc[ob
具帶狀孔	ju[jb dd[cj vl[dq ks[zv
具帶狀萌發孔	ju[jb dd[cj vl[dq mg[co fa[vy ks[zv
聚電解質	ju[ep dm[ov jp[dd vi[pu
劇毒毒傘的子實體	ju[ud du[fm du[fm sj[rb de[bb zi[lh ui[gd ti[ra
具對溝	ju[jb dv[yc gz[db
具二	ju[jb er[hh
菊粉	ju[cb ff[mf
菊粉二糖	ju[cb ff[mf er[hh th[mg
菊粉酶	ju[cb ff[mf mw[yr
具分枝結構的乳六糖	ju[jb ff[bd vi[au jp[su gz[ab de[bb ru[av lq[wb th[mg
鋸蜂	ju[ju fg[iw
具副	ju[jb fu[hd
具腹足的昆蟲幼蟲	ju[jb fu[or zu[kv de[bb ky[ob is[ks yz[yl is[ks
聚甘氨酸	ju[ep gj[nh an[qg sr[ys
距骨	ju[zk gu[ko
距骨周圍脫位	ju[zk gu[ko vz[kt ww[ww to[ob ww[rl
具管組織	ju[jb gr[vg zu[sq vi[sk
聚光鏡	ju[ep gl[xe jk[jl
劇汗	ju[ud hj[dg
巨頜	ju[kk he[ry
聚合度	ju[ep he[rh du[gn
聚合果	ju[ep he[rh go[oa
聚合核果	ju[ep he[rh he[aw go[oa
聚合菌絲束	ju[ep he[rh jy[cw si[sh uu[hk
聚合離果	ju[ep he[rh li[wk go[oa
聚合酶	ju[ep he[rh mw[yr
聚合酶鏈反應	ju[ep he[rh mw[yr lm[ji fj[py yk[gx
聚合酶鏈式反應	ju[ep he[rh mw[yr lm[ji ui[qg fj[py yk[gx
聚合囊	ju[ep he[rh nh[hk
聚核糖體	ju[ep he[aw th[mg ti[ra
聚合物表面活性劑	ju[ep he[rh wu[nb bn[fy mm[ew ho[dq xk[xp ji[wd
聚合物同分異構體	ju[ep he[rh wu[nb ts[kh ff[bd yi[kc gz[ab ti[ra
巨核細胞	ju[kk he[aw xi[st bc[ob
聚合性痤瘡	ju[ep he[rh xk[xp co[br il[br
巨頜症	ju[kk he[ry vg[bh
聚合狀態	ju[ep he[rh vl[dq td[dx
聚合作用	ju[ep he[rh zo[rv ys[ou
巨紅細胞	ju[kk hs[sg xi[st bc[ob
巨紅細胞溶解酶	ju[kk hs[sg xi[st bc[ob rs[dx jp[dd mw[yr
巨紅細胞性貧血	ju[kk hs[sg xi[st bc[ob xk[xp pb[fb xt[pm
聚花果	ju[ep hx[cr go[oa
菊花科	ju[cb hx[cr ke[hd
具環染色單體	ju[jb hr[wb rj[da se[db dj[bo ti[ra
菊黃質	ju[cb hl[gy vi[pu
鋸肌	ju[ju ji[oj
舉肌	ju[xf ji[oj
聚集素	ju[ep ji[va su[fy
聚集素酶	ju[ep ji[va su[fy mw[yr
聚集中心	ju[ep ji[va vs[ku xb[dv
聚集作用	ju[ep ji[va zo[rv ys[ou
居間分生組織	ju[ug jm[mo ff[bd ug[pf zu[sq vi[sk
