阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
莒縣	ju[ck xm[qs
鉅野縣	ju[kk ye[oy xm[qs
鄄城縣	jr[xe ig[tw xm[qs
筠連縣	jy[vt lm[iz xm[qs
君山區	jy[xk uj[uk qu[ki
喀喇沁旗	ka[kg la[kh qb[dx qi[fr
喀喇沁左翼蒙古族自治縣	ka[kg la[kh qb[dx zo[ug yi[xt mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
卡若區	ka[ub ro[cu qu[ki
喀什地區	ka[kg ui[ru di[ty qu[ki
喀什市	ka[kg ui[ru ui[wj
開封市	kd[hc fg[tc ui[wj
開福區	kd[hc fu[uh qu[ki
開化縣	kd[hc hx[rq xm[qs
開江縣	kd[hc jl[dg xm[qs
凱裡市	kd[uj li[ot ui[wj
開魯縣	kd[hc lu[yo xm[qs
開平區	kd[hc pk[hb qu[ki
開平市	kd[hc pk[hb ui[wj
開陽縣	kd[hc yh[eo xm[qs
開原市	kd[hc yr[ib ui[wj
開遠市	kd[hc yr[ez ui[wj
開州區	kd[hc vz[dp qu[ki
康巴什區	kh[gx ba[ku ui[ru qu[ki
康保縣	kh[gx bc[rk xm[qs
康定市	kh[gx dk[gp ui[wj
康樂縣	kh[gx le[px xm[qs
康馬縣	kh[gx ma[vv xm[qs
康平縣	kh[gx pk[hb xm[qs
康縣	kh[gx xm[qs
柯城區	ke[ak ig[tw qu[ki
克東縣	ke[ge ds[qx xm[qs
科爾沁區	ke[hd er[dx qb[dx qu[ki
科爾沁右翼前旗	ke[hd er[dx qb[dx yz[uk yi[xt qm[bo qi[fr
科爾沁右翼中旗	ke[hd er[dx qb[dx yz[uk yi[xt vs[ku qi[fr
科爾沁左翼後旗	ke[hd er[dx qb[dx zo[ug yi[xt hz[pk qi[fr
科爾沁左翼中旗	ke[hd er[dx qb[dx zo[ug yi[xt vs[ku qi[fr
可克達拉市	ke[dk ke[ge da[dz la[fl ui[wj
克拉瑪依區	ke[ge la[fl ma[wm yi[ry qu[ki
克拉瑪依市	ke[ge la[fl ma[wm yi[ry ui[wj
岢嵐縣	ke[uk lj[uf xm[qs
柯坪縣	ke[ak pk[tp xm[qs
柯橋區	ke[ak qn[ap qu[ki
克山縣	ke[ge uj[uk xm[qs
克什克騰旗	ke[ge ui[ru ke[ge tg[ob qi[fr
克孜勒蘇柯爾克孜自治州	ke[ge zi[zw le[gl su[cl ke[ak er[dx ke[ge zi[zw zi[pm vi[ds vz[dp
墾利區	kf[gt li[hd qu[ki
崆峒區	ks[ux ts[uk qu[ki
庫車市	ku[gi ie[qu ui[wj
庫爾勒市	ku[gi er[dx le[gl ui[wj
庫倫旗	ku[gi ly[rr qi[fr
寬城滿族自治縣	kr[gc ig[tw mj[dc zu[fr zi[pm vi[ds xm[qs
寬城區	kr[gc ig[tw qu[ki
寬甸滿族自治縣	kr[gc dm[bt mj[dc zu[fr zi[pm vi[ds xm[qs
礦區	kl[eg qu[ki
奎屯市	kv[dt ty[hk ui[wj
奎文區	kv[dt wf[wi qu[ki
昆都侖區	ky[ob du[te ly[rb qu[ki
昆明市	ky[ob mk[oo ui[wj
崑山市	ky[ob uj[uk ui[wj
崑玉市	ky[ob yu[wd ui[wj
拉薩市	la[fl sa[ce ui[wj
拉孜縣	la[fl zi[zw xm[qs
來安縣	ld[hm an[gn xm[qs
來賓市	ld[hm bb[gq ui[wj
來鳳縣	ld[hm fg[jy xm[qs
萊山區	ld[cl uj[uk qu[ki
淶水縣	ld[dl uv[uu xm[qs
萊蕪區	ld[cl wu[ce qu[ki
萊西市	ld[cl xi[hk ui[wj
萊陽市	ld[cl yh[eo ui[wj
淶源縣	ld[dl yr[di xm[qs
萊州市	ld[cl vz[dp ui[wj
瀾滄拉祜族自治縣	lj[dm ch[dr la[fl hu[ug zu[fr zi[pm vi[ds xm[qs
嵐皋縣	lj[uf gc[bd xm[qs
蘭考縣	lj[bs kc[tk xm[qs
蘭陵縣	lj[bs lk[et xm[qs
蘭坪白族普米族自治縣	lj[bs pk[tp bd[po zu[fr pu[bo mi[ba zu[fr zi[pm vi[ds xm[qs
蘭山區	lj[bs uj[uk qu[ki
嵐山區	lj[uf uj[uk qu[ki
藍山縣	lj[cu uj[uk xm[qs
藍田縣	lj[cu tm[wu xm[qs
蘭溪市	lj[bs xi[da ui[wj
蘭西縣	lj[bs xi[hk xm[qs
嵐縣	lj[uf xm[qs
蘭州市	lj[bs vz[dp ui[wj
廊坊市	lh[gl fh[tf ui[wj
浪卡子縣	lh[dl ka[ub zi[lh xm[qs
郎溪縣	lh[le xi[da xm[qs
朗縣	lh[lo xm[qs
琅琊區	lh[wl ya[wy qu[ki
閬中市	lh[ml vs[ku ui[wj
老邊區	lc[tb bm[lz qu[ki
老城區	lc[tb ig[tw qu[ki
老河口市	lc[tb he[dk kz[uv ui[wj
嶗山區	lc[uc uj[uk qu[ki
樂亭縣	lc[px tk[wd xm[qs
樂安縣	le[px an[gn xm[qs
樂昌市	le[px ih[oo ui[wj
樂東黎族自治縣	le[px ds[qx li[hr zu[fr zi[pm vi[ds xm[qs
樂都區	le[px du[te qu[ki
樂陵市	le[px lk[et ui[wj
樂平市	le[px pk[hb ui[wj
樂山市	le[px uj[uk ui[wj
樂業縣	le[px ye[ub xm[qs
樂至縣	le[px vi[ht xm[qs
雷波縣	lw[yt bo[dp xm[qs
雷山縣	lw[yt uj[uk xm[qs
類烏齊縣	lw[md wu[bv qi[wp xm[qs
耒陽市	lw[fb yh[eo ui[wj
雷州市	lw[yt vz[dp ui[wj
冷水江市	lg[dr uv[uu jl[dg ui[wj
冷水灘區	lg[dr uv[uu tj[dy qu[ki
荔波縣	li[cl bo[dp xm[qs
李滄區	li[az ch[dr qu[ki
歷城區	li[il ig[tw qu[ki
荔城區	li[cl ig[tw qu[ki
鯉城區	li[yo ig[tw qu[ki
黎城縣	li[hr ig[tw xm[qs
利川市	li[hd ir[pu ui[wj
黎川縣	li[hr ir[pu xm[qs
麗江市	li[hk jl[dg ui[wj
利津縣	li[hd jb[dy xm[qs
醴陵市	li[yq lk[et ui[wj
黎平縣	li[hr pk[hb xm[qs
荔浦市	li[cl pu[df ui[wj
禮泉縣	li[uv qr[bu xm[qs
立山區	li[lh uj[uk qu[ki
離石區	li[wk ui[ek qu[ki
梨樹區	li[ha uu[ay qu[ki
梨樹縣	li[ha uu[ay xm[qs
溧水區	li[dx uv[uu qu[ki
麗水市	li[hk uv[uu ui[wj
理塘縣	li[wo th[tg xm[qs
利通區	li[hd ts[sz qu[ki
荔灣區	li[cl wj[dy qu[ki
歷下區	li[il xx[hb qu[ki
澧縣	li[dq xm[qs
理縣	li[wo xm[qs
禮縣	li[uv xm[qs
蠡縣	li[vi xm[qs
利辛縣	li[hd xb[lu xm[qs
溧陽市	li[dx yh[eo ui[wj
利州區	li[hd vz[dp qu[ki
連城縣	lm[iz ig[tw xm[qs
蓮池區	lm[ci ii[dy qu[ki
蓮都區	lm[ci du[te qu[ki
蓮湖區	lm[ci hu[dg qu[ki
蓮花縣	lm[ci hx[cr xm[qs
廉江市	lm[gb jl[dg ui[wj
連江縣	lm[iz jl[dg xm[qs
連南瑤族自治縣	lm[iz nj[uk yc[wa zu[fr zi[pm vi[ds xm[qs
連平縣	lm[iz pk[hb xm[qs
連山區	lm[iz uj[uk qu[ki
連山壯族瑤族自治縣	lm[iz uj[uk vl[du zu[fr yc[wa zu[fr zi[pm vi[ds xm[qs
漣水縣	lm[di uv[uu xm[qs
濂溪區	lm[dg xi[da qu[ki
漣源市	lm[di yr[di ui[wj
連雲港市	lm[iz yy[es gh[dg ui[wj
連雲區	lm[iz yy[es qu[ki
連州市	lm[iz vz[dp ui[wj
涼城縣	ll[dw ig[tw xm[qs
兩當縣	ll[hk dh[xx xm[qs
梁河縣	ll[da he[dk xm[qs
梁平區	ll[da pk[hb qu[ki
良慶區	ll[dg qk[gd qu[ki
梁山縣	ll[da uj[uk xm[qs
涼山彝族自治州	ll[dw uj[uk yi[vm zu[fr zi[pm vi[ds vz[dp
梁溪區	ll[da xi[da qu[ki
梁園區	ll[da yr[we qu[ki
涼州區	ll[dw vz[dp qu[ki
梁子湖區	ll[da zi[lh hu[dg qu[ki
聊城市	ln[ep ig[tw ui[wj
遼寧省	ln[lz nk[gd ug[xm
遼陽市	ln[lz yh[eo ui[wj
遼陽縣	ln[lz yh[eo xm[qs
遼源市	ln[lz yr[di ui[wj
遼中區	ln[lz vs[ku qu[ki
烈山區	lp[hd uj[uk qu[ki
臨安區	lb[uv an[gn qu[ki
臨滄市	lb[uv ch[dr ui[wj
臨城縣	lb[uv ig[tw xm[qs
臨川區	lb[uv ir[pu qu[ki
林甸縣	lb[aa dm[bt xm[qs
臨汾市	lb[uv ff[df ui[wj
臨高縣	lb[uv gc[wk xm[qs
臨桂區	lb[uv gv[at qu[ki
臨海市	lb[uv hd[dr ui[wj
臨河區	lb[uv he[dk qu[ki
臨江市	lb[uv jl[dg ui[wj
林口縣	lb[aa kz[uv xm[qs
臨澧縣	lb[uv li[dq xm[qs
臨清市	lb[uv qk[df ui[wj
臨朐縣	lb[uv qu[ob xm[qs
臨泉縣	lb[uv qr[bu xm[qs
臨沭縣	lb[uv uu[da xm[qs
鄰水縣	lb[re uv[uu xm[qs
臨潭縣	lb[uv tj[dx xm[qs
臨洮縣	lb[uv tc[dv xm[qs
臨潼區	lb[uv ts[dl qu[ki
臨渭區	lb[uv ww[dt qu[ki
臨武縣	lb[uv wu[hv xm[qs
臨西縣	lb[uv xi[hk xm[qs
林西縣	lb[aa xi[hk xm[qs
臨夏回族自治州	lb[uv xx[ew hv[wk zu[fr zi[pm vi[ds vz[dp
臨夏市	lb[uv xx[ew ui[wj
臨夏縣	lb[uv xx[ew xm[qs
臨縣	lb[uv xm[qs
臨翔區	lb[uv xl[yx qu[ki
臨湘市	lb[uv xl[da ui[wj
臨沂市	lb[uv yi[dj ui[wj
臨猗縣	lb[uv yi[qd xm[qs
臨邑縣	lb[uv yi[kb xm[qs
臨潁縣	lb[uv yk[by xm[qs
麟遊縣	lb[gm yz[df xm[qs
臨澤縣	lb[uv ze[dy xm[qs
臨漳縣	lb[uv vh[dl xm[qs
林芝市	lb[aa vi[cv ui[wj
林州市	lb[aa vz[dp ui[wj
林周縣	lb[aa vz[kt xm[qs
臨淄區	lb[uv zi[dv qu[ki
靈寶市	lk[xh bc[gw ui[wj
靈璧縣	lk[xh bi[uw xm[qs
陵城區	lk[et ig[tw qu[ki
靈川縣	lk[xh ir[pu xm[qs
陵川縣	lk[et ir[pu xm[qs
嶺東區	lk[ur ds[qx qu[ki
凌海市	lk[dt hd[dr ui[wj
淩河區	lk[dt he[dk qu[ki
零陵區	lk[yr lk[et qu[ki
靈丘縣	lk[xh qq[jh xm[qs
靈山縣	lk[xh uj[uk xm[qs
靈石縣	lk[xh ui[ek xm[qs
靈壽縣	lk[xh uz[fc xm[qs
陵水黎族自治縣	lk[et uv[uu li[hr zu[fr zi[pm vi[ds xm[qs
靈臺縣	lk[xh td[sk xm[qs
靈武市	lk[xh wu[hv ui[wj
凌源市	lk[dt yr[di ui[wj
凌雲縣	lk[dt yy[es xm[qs
六安市	lq[wb an[gn ui[wj
留壩縣	lq[pt ba[tb xm[qs
柳北區	lq[ap bw[ub qu[ki
柳城縣	lq[ap ig[tw xm[qs
六合區	lq[wb he[rh qu[ki
柳河縣	lq[ap he[dk xm[qs
柳江區	lq[ap jl[dg qu[ki
柳林縣	lq[ap lb[aa xm[qs
柳南區	lq[ap nj[uk qu[ki
六盤水市	lq[wb pj[vm uv[uu ui[wj
瀏陽市	lq[dw yh[eo ui[wj
六枝特區	lq[wb vi[au te[nt qu[ki
柳州市	lq[ap vz[dp ui[wj
龍安區	ls[yp an[gn qu[ki
隆安縣	ls[ew an[gn xm[qs
隆昌市	ls[ew ih[oo ui[wj
龍城區	ls[yp ig[tw qu[ki
隴川縣	ls[ey ir[pu xm[qs
龍川縣	ls[yp ir[pu xm[qs
隆德縣	ls[ew de[ru xm[qs
龍鳳區	ls[yp fg[jy qu[ki
龍崗區	ls[yp gh[uk qu[ki
龍港區	ls[yp gh[dg qu[ki
龍港市	ls[yp gh[dg ui[wj
龍海市	ls[yp hd[dr ui[wj
龍湖區	ls[yp hu[dg qu[ki
龍華區	ls[yp hx[ru qu[ki
隆化縣	ls[ew hx[rq xm[qs
隆回縣	ls[ew hv[wk xm[qs
龍江縣	ls[yp jl[dg xm[qs
龍井市	ls[yp jk[ep ui[wj
龍口市	ls[yp kz[uv ui[wj
龍里縣	ls[yp li[ot xm[qs
隆林各族自治縣	ls[ew lb[aa ge[wk zu[fr zi[pm vi[ds xm[qs
龍陵縣	ls[yp lk[et xm[qs
龍馬潭區	ls[yp ma[vv tj[dx qu[ki
龍門縣	ls[yp mf[du xm[qs
隴南市	ls[ey nj[uk ui[wj
龍南市	ls[yp nj[uk ui[wj
龍泉市	ls[yp qr[bu ui[wj
龍泉驛區	ls[yp qr[bu yi[my qu[ki
龍沙區	ls[yp ua[dx qu[ki
龍山區	ls[yp uj[uk qu[ki
龍山縣	ls[yp uj[uk xm[qs
龍勝各族自治縣	ls[yp ug[op ge[wk zu[fr zi[pm vi[ds xm[qs
龍潭區	ls[yp tj[dx qu[ki
龍亭區	ls[yp tk[wd qu[ki
龍灣區	ls[yp wj[dy qu[ki
龍文區	ls[yp wf[wi qu[ki
隴西縣	ls[ey xi[hk xm[qs
隴縣	ls[ey xm[qs
龍圩區	ls[yp xu[te qu[ki
龍巖市	ls[yp yj[ue ui[wj
隆陽區	ls[ew yh[eo qu[ki
隆堯縣	ls[ew yc[qh xm[qs
龍游縣	ls[yp yz[df xm[qs
龍州縣	ls[yp vz[dp xm[qs
龍子湖區	ls[yp zi[lh hu[dg qu[ki
隆子縣	ls[ew zi[lh xm[qs
婁底市	lz[mn di[gu ui[wj
婁煩縣	lz[mn fj[hy xm[qs
婁星區	lz[mn xk[op qu[ki
路北區	lu[zw bw[ub qu[ki
潞城區	lu[dz ig[tw qu[ki
鹿城區	lu[gb ig[tw qu[ki
陸川縣	lu[ef ir[pu xm[qs
魯甸縣	lu[yo dm[bt xm[qs
瀘定縣	lu[db dk[gp xm[qs
陸豐市	lu[ef fg[su ui[wj
祿豐縣	lu[ux fg[su xm[qs
陸河縣	lu[ef he[dk xm[qs
爐霍縣	lu[hh ho[yv xm[qs
廬江縣	lu[gh jl[dg xm[qs
淥口區	lu[dx kz[uv qu[ki
陸良縣	lu[ef ll[dg xm[qs
盧龍縣	lu[bu ls[yp xm[qs
路南區	lu[zw nj[uk qu[ki
路橋區	lu[zw qn[ap qu[ki
碌曲縣	lu[ex qu[ou xm[qs
鹿泉區	lu[gb qr[bu qu[ki
祿勸彝族苗族自治縣	lu[ux qr[yl yi[vm zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
廬山市	lu[gh uj[uk ui[wj
蘆山縣	lu[ch uj[uk xm[qs
魯山縣	lu[yo uj[uk xm[qs
盧氏縣	lu[bu ui[pq xm[qs
瀘水市	lu[db uv[uu ui[wj
蘆淞區	lu[ch ss[da qu[ki
瀘溪縣	lu[db xi[da xm[qs
瀘西縣	lu[db xi[hk xm[qs
蘆溪縣	lu[ch xi[da xm[qs
瀘縣	lu[db xm[qs
廬陽區	lu[gh yh[eo qu[ki
鹿邑縣	lu[gb yi[kb xm[qs
鹿寨縣	lu[gb vd[ga xm[qs
潞州區	lu[dz vz[dp qu[ki
瀘州市	lu[db vz[dp ui[wj
欒城區	lr[ya ig[tw qu[ki
欒川縣	lr[ya ir[pu xm[qs
灤南縣	lr[dy nj[uk xm[qs
灤平縣	lr[dy pk[hb xm[qs
灤州市	lr[dy vz[dp ui[wj
略陽縣	lt[tw yh[eo xm[qs
輪臺縣	ly[ir td[sk xm[qs
蘿北縣	lo[cs bw[ub xm[qs
羅城仫佬族自治縣	lo[sx ig[tw mu[rp lc[rt zu[fr zi[pm vi[ds xm[qs
洛川縣	lo[dw ir[pu xm[qs
羅甸縣	lo[sx dm[bt xm[qs
羅定市	lo[sx dk[gp ui[wj
漯河市	lo[dt he[dk ui[wj
羅湖區	lo[sx hu[dg qu[ki
洛江區	lo[dw jl[dg qu[ki
羅江區	lo[sx jl[dg qu[ki
洛龍區	lo[dw ls[yp qu[ki
洛隆縣	lo[dw ls[ew xm[qs
洛南縣	lo[dw nj[uk xm[qs
洛寧縣	lo[dw nk[gd xm[qs
羅平縣	lo[sx pk[hb xm[qs
洛浦縣	lo[dw pu[df xm[qs
羅山縣	lo[sx uj[uk xm[qs
羅田縣	lo[sx tm[wu xm[qs
洛陽市	lo[dw yh[eo ui[wj
羅源縣	lo[sx yr[di xm[qs
洛扎縣	lo[dw va[fv xm[qs
羅莊區	lo[sx vl[gt qu[ki
綠春縣	lv[sx iy[so xm[qs
呂梁市	lv[kk ll[da ui[wj
旅順口區	lv[fr uy[iy kz[uv qu[ki
綠園區	lv[sx yr[we qu[ki
馬鞍山市	ma[vv an[gg uj[uk ui[wj
馬邊彝族自治縣	ma[vv bm[lz yi[vm zu[fr zi[pm vi[ds xm[qs
麻城市	ma[ga ig[tw ui[wj
馬村區	ma[vv cy[ac qu[ki
瑪多縣	ma[wm do[xx xm[qs
馬爾康市	ma[vv er[dx kh[gx ui[wj
馬關縣	ma[vv gr[bt xm[qs
麻江縣	ma[ga jl[dg xm[qs
麻栗坡縣	ma[ga li[xa po[tp xm[qs
馬龍區	ma[vv ls[yp qu[ki
瑪納斯縣	ma[wm na[sk si[qj xm[qs
瑪沁縣	ma[wm qb[dx xm[qs
瑪曲縣	ma[wm qu[ou xm[qs
麻山區	ma[ga uj[uk qu[ki
馬山縣	ma[vv uj[uk xm[qs
馬尾區	ma[vv ww[um qu[ki
麻陽苗族自治縣	ma[ga yh[eo mn[ct zu[fr zi[pm vi[ds xm[qs
麻章區	ma[ga vh[lo qu[ki
麥蓋提縣	md[fw gd[bm ti[fo xm[qs
麥積區	md[fw ji[hk qu[ki
滿城區	mj[dc ig[tw qu[ki
滿洲裡市	mj[dc vz[dd li[ot ui[wj
芒康縣	mh[cw kh[gx xm[qs
芒市	mh[cw ui[wj
茫崖市	mh[cd ya[ui ui[wj
茅箭區	mc[cy jm[vb qu[ki
茂名市	mc[cw mk[xk ui[wj
茂南區	mc[cw nj[uk qu[ki
茂縣	mc[cw xm[qs
美姑縣	mw[bw gu[ng xm[qs
梅河口市	mw[ar he[dk kz[uv ui[wj
梅江區	mw[ar jl[dg qu[ki
美蘭區	mw[bw lj[bs qu[ki
梅里斯達斡爾族區	mw[ar li[ot si[qj da[dz wo[ur er[dx zu[fr qu[ki
梅列區	mw[ar lp[hd qu[ki
眉山市	mw[mm uj[uk ui[wj
湄潭縣	mw[dm tj[dx xm[qs
眉縣	mw[mm xm[qs
梅縣區	mw[ar xm[qs qu[ki
梅州市	mw[ar vz[dp ui[wj
門頭溝區	mf[du tz[dd gz[db qu[ki
門源回族自治縣	mf[du yr[di hv[wk zu[fr zi[pm vi[ds xm[qs
蒙城縣	mg[ch ig[tw xm[qs
孟村回族自治縣	mg[zm cy[ac hv[wk zu[fr zi[pm vi[ds xm[qs
勐海縣	mg[zl hd[dr xm[qs
孟津縣	mg[zm jb[dy xm[qs
勐臘縣	mg[zl la[og xm[qs
孟連傣族拉祜族佤族自治縣	mg[zm lm[iz dd[rs zu[fr la[fl hu[ug zu[fr wa[rw zu[fr zi[pm vi[ds xm[qs
蒙山縣	mg[ch uj[uk xm[qs
蒙陰縣	mg[ch yb[eo xm[qs
孟州市	mg[zm vz[dp ui[wj
蒙自市	mg[ch zi[pm ui[wj
米東區	mi[ba ds[qx qu[ki
彌渡縣	mi[gd du[dg xm[qs
彌勒市	mi[gd le[gl ui[wj
米林縣	mi[ba lb[aa xm[qs
汨羅市	mi[do lo[sx ui[wj
密山市	mi[gu uj[uk ui[wj
米易縣	mi[ba yi[ob xm[qs
密雲區	mi[gu yy[es qu[ki
米脂縣	mi[ba vi[ob xm[qs
澠池縣	mm[dk ii[dy xm[qs
冕寧縣	mm[od nk[gd xm[qs
勉縣	mm[dl xm[qs
綿陽市	mm[sb yh[eo ui[wj
綿竹市	mm[sb vu[rr ui[wj
民豐縣	mb[kv fg[su xm[qs
閔行區	mb[mw hh[rh qu[ki
民和回族土族自治縣	mb[kv he[hk hv[wk zu[fr tu[uh zu[fr zi[pm vi[ds xm[qs
閩侯縣	mb[mi hz[rv xm[qs
民樂縣	mb[kv le[px xm[qs
民勤縣	mb[kv qb[nl xm[qs
閩清縣	mb[mi qk[df xm[qs
民權縣	mb[kv qr[ay xm[qs
岷縣	mb[um xm[qs
明光市	mk[oo gl[xe ui[wj
名山區	mk[xk uj[uk qu[ki
明山區	mk[oo uj[uk qu[ki
明水縣	mk[oo uv[uu xm[qs
明溪縣	mk[oo xi[da xm[qs
漠河市	mo[dc he[dk ui[wj
墨江哈尼族自治縣	mo[ht jl[dg ha[kr ni[ub zu[fr zi[pm vi[ds xm[qs
莫力達瓦達斡爾族自治旗	mo[co li[vp da[dz wa[hv da[dz wo[ur er[dx zu[fr zi[pm vi[ds qi[fr
墨脫縣	mo[ht to[ob xm[qs
墨玉縣	mo[ht yu[wd xm[qs
墨竹工卡縣	mo[ht vu[rr gs[hu ka[ub xm[qs
牟定縣	mz[sn dk[gp xm[qs
沐川縣	mu[da ir[pu xm[qs
牡丹江市	mu[nt dj[kw jl[dg ui[wj
牡丹區	mu[nt dj[kw qu[ki
木蘭縣	mu[ub lj[bs xm[qs
木壘哈薩克自治縣	mu[ub lw[st ha[kr sa[ce ke[ge zi[pm vi[ds xm[qs
木裡藏族自治縣	mu[ub li[ot zh[cw zu[fr zi[pm vi[ds xm[qs
穆稜市	mu[hb lk[at ui[wj
牟平區	mu[sn pk[hb qu[ki
牧野區	mu[nw ye[oy qu[ki
那坡縣	na[ve po[tp xm[qs
那曲市	na[ve qu[ou ui[wj
納溪區	na[sk xi[da qu[ki
納雍縣	na[sk ys[ws xm[qs
乃東區	nd[vp ds[qx qu[ki
奈曼旗	nd[de mj[os qi[fr
南岸區	nj[uk an[ui qu[ki
南安市	nj[uk an[gn ui[wj
南澳縣	nj[uk ao[dp xm[qs
南部縣	nj[uk bu[le xm[qs
南岔縣	nj[uk ia[fu xm[qs
南昌市	nj[uk ih[oo ui[wj
南昌縣	nj[uk ih[oo xm[qs
南城縣	nj[uk ig[tw xm[qs
南充市	nj[uk is[we ui[wj
南川區	nj[uk ir[pu qu[ki
南丹縣	nj[uk dj[kw xm[qs
南芬區	nj[uk ff[cf qu[ki
南豐縣	nj[uk fg[su xm[qs
南崗區	nj[uk gh[uk qu[ki
南宮市	nj[uk gs[gk ui[wj
南關區	nj[uk gr[bt qu[ki
南海區	nj[uk hd[dr qu[ki
南和區	nj[uk he[hk qu[ki
南湖區	nj[uk hu[dg qu[ki
南華縣	nj[uk hx[ru xm[qs
南澗彝族自治縣	nj[uk jm[dm yi[vm zu[fr zi[pm vi[ds xm[qs
南江縣	nj[uk jl[dg xm[qs
南京市	nj[uk jk[wk ui[wj
南靖縣	nj[uk jk[lf xm[qs
南開區	nj[uk kd[hc qu[ki
南康區	nj[uk kh[gx qu[ki
南樂縣	nj[uk le[px xm[qs
南陵縣	nj[uk lk[et xm[qs
南明區	nj[uk mk[oo qu[ki
南木林縣	nj[uk mu[ub lb[aa xm[qs
南寧市	nj[uk nk[gd ui[wj
南皮縣	nj[uk pi[vp xm[qs
南票區	nj[uk pn[xe qu[ki
南平市	nj[uk pk[hb ui[wj
南譙區	nj[uk qn[yv qu[ki
南沙區	nj[uk ua[dx qu[ki
南山區	nj[uk uj[uk qu[ki
南通市	nj[uk ts[sz ui[wj
南溪區	nj[uk xi[da qu[ki
南縣	nj[uk xm[qs
南雄市	nj[uk xs[uv ui[wj
南潯區	nj[uk xy[dx qu[ki
南陽市	nj[uk yh[eo ui[wj
南嶽區	nj[uk yt[qu qu[ki
南漳縣	nj[uk vh[dl xm[qs
南召縣	nj[uk vc[dk xm[qs
南鄭區	nj[uk vg[be qu[ki
囊謙縣	nh[hk qm[yb xm[qs
訥河市	ne[yk he[dk ui[wj
內黃縣	nw[kr hl[gy xm[qs
內江市	nw[kr jl[dg ui[wj
內蒙古自治區	nw[kr mg[ch gu[uk zi[pm vi[ds qu[ki
內丘縣	nw[kr qq[jh xm[qs
內鄉縣	nw[kr xl[sp xm[qs
嫩江市	nf[nh jl[dg ui[wj
尼勒克縣	ni[ub le[gl ke[ge xm[qs
尼瑪縣	ni[ub ma[wm xm[qs
尼木縣	ni[ub mu[ub xm[qs
碾子山區	nm[eu zi[lh uj[uk qu[ki
聶拉木縣	np[ey la[fl mu[ub xm[qs
聶榮縣	np[ey rs[ca xm[qs
寧安市	nk[gd an[gn ui[wj
寧波市	nk[gd bo[dp ui[wj
寧城縣	nk[gd ig[tw xm[qs
寧德市	nk[gd de[ru ui[wj
寧都縣	nk[gd du[te xm[qs
寧洱哈尼族彝族自治縣	nk[gd er[de ha[kr ni[ub zu[fr yi[vm zu[fr zi[pm vi[ds xm[qs
寧國市	nk[gd go[ww ui[wj
寧海縣	nk[gd hd[dr xm[qs
寧河區	nk[gd he[dk qu[ki
寧化縣	nk[gd hx[rq xm[qs
寧江區	nk[gd jl[dg qu[ki
寧晉縣	nk[gd jb[ho xm[qs
寧津縣	nk[gd jb[dy xm[qs
寧蒗彝族自治縣	nk[gd lh[cd yi[vm zu[fr zi[pm vi[ds xm[qs
寧陵縣	nk[gd lk[et xm[qs
寧明縣	nk[gd mk[oo xm[qs
寧南縣	nk[gd nj[uk xm[qs
寧強縣	nk[gd ql[gk xm[qs
寧陝縣	nk[gd uj[ej xm[qs
寧武縣	nk[gd wu[hv xm[qs
寧夏回族自治區	nk[gd xx[ew hv[wk zu[fr zi[pm vi[ds qu[ki
寧縣	nk[gd xm[qs
寧鄉市	nk[gd xl[sp ui[wj
寧陽縣	nk[gd yh[eo xm[qs
寧遠縣	nk[gd yr[ez xm[qs
農安縣	ns[gy an[gn xm[qs
怒江傈僳族自治州	nu[nx jl[dg li[rx su[rx zu[fr zi[pm vi[ds vz[dp
甌海區	ou[kw hd[dr qu[ki
磐安縣	pj[ve an[gn xm[qs
潘集區	pj[dp ji[va qu[ki
盤錦市	pj[vm jb[jb ui[wj
盤龍區	pj[vm ls[yp qu[ki
盤山縣	pj[vm uj[uk xm[qs
磐石市	pj[ve ui[ek ui[wj
番禺區	pj[pt yu[ok qu[ki
攀枝花市	pj[ad vi[au hx[cr ui[wj
盤州市	pj[vm vz[dp ui[wj
沛縣	pw[dh xm[qs
蓬安縣	pg[cw an[gn xm[qs
蓬江區	pg[cw jl[dg qu[ki
蓬萊區	pg[cw ld[cl qu[ki
彭山區	pg[up uj[uk qu[ki
彭水苗族土家族自治縣	pg[up uv[uu mn[ct zu[fr tu[uh jx[gu zu[fr zi[pm vi[ds xm[qs
蓬溪縣	pg[cw xi[da xm[qs
彭陽縣	pg[up yh[eo xm[qs
彭澤縣	pg[up ze[dy xm[qs
彭州市	pg[up vz[dp ui[wj
郫都區	pi[be dz[te qu[ki
皮山縣	pi[vp uj[uk xm[qs
邳州市	pi[be vz[dp ui[wj
偏關縣	pm[rh gr[bt xm[qs
平安區	pk[hb an[gn qu[ki
平壩區	pk[hb ba[tb qu[ki
屏邊苗族自治縣	pk[ub bm[lz mn[ct zu[fr zi[pm vi[ds xm[qs
平昌縣	pk[hb ih[oo xm[qs
平城區	pk[hb ig[tw qu[ki
平川區	pk[hb ir[pu qu[ki
平頂山市	pk[hb dk[dy uj[uk ui[wj
平定縣	pk[hb dk[gp xm[qs
平度市	pk[hb du[gn ui[wj
平房區	pk[hb fh[hf qu[ki
平谷區	pk[hb gu[bk qu[ki
