阿苯噠唑	aa[ek bf[ca da[kd zo[kr
密膽鹼	mi[gu dj[oo jm[ew
嘧啶	mi[kg dk[kg
密度標準珠套	mi[gu du[gn bn[ae vy[dv vu[wp tc[di
蜜二糖	mi[gi er[hh th[mg
密二糖	mi[gu er[hh th[mg
醚化劑	mi[ym hx[rq ji[wd
脒基硫脲	mi[om ji[qt lq[ew nn[ou
醚菊酯	mi[ym ju[cb vi[yb
米糠蠟	mi[ba kh[mg la[ig
咪喹莫特	mi[km kv[kd mo[co te[nt
米勒海頓瓊脂	mi[ba le[gl hd[dr dy[ty qs[ww vi[ob
米勒海頓肉湯	mi[ba le[gl hd[dr dy[ty rz[kr th[dv
米勒指數	mi[ba le[gl vi[fb uu[mw
米隆氏試劑	mi[ba ls[ew ui[pq ui[yq ji[wd
米倫試劑	mi[ba ly[rr ui[yq ji[wd
米氏酮	mi[ba ui[pq ts[yk
米吐爾	mi[ba tu[kt er[dx
咪唑	mi[km zo[kr
咪唑苯乙酮	mi[km zo[kr bf[ca yi[vv ts[yk
咪唑基苯酚	mi[km zo[kr ji[qt bf[ca ff[yf
咪唑啉	mi[km zo[kr lb[ka
咪唑羧酸	mi[km zo[kr so[ys sr[ys
咪唑酮	mi[km zo[kr ts[yk
咪唑烷基脲	mi[km zo[kr wj[hg ji[qt nn[ou
咪唑烷酮	mi[km zo[kr wj[hg ts[yk
面式異構體	mm[ew ui[qg yi[kc gz[ab ti[ra
免疫電泳	mm[dk yi[bj dm[ov ys[dd
免疫球蛋白牛	mm[dk yi[bj qq[wh dj[pi bd[po nq[pf
免疫球蛋白人	mm[dk yi[bj qq[wh dj[pi bd[po rf[pd
免疫球蛋白鼠	mm[dk yi[bj qq[wh dj[pi bd[po uu[jv
面釉	mm[ew yz[py
棉子酚	mm[ab zi[lh ff[yf
綿子糖	mm[sb zi[lh th[mg
滅草喹原藥	mp[hh cc[co kv[kd yr[ib yc[cs
滅賜松	mp[hh ci[bo ss[ab
敏樂啶	mb[rw le[px dk[kg
明礬	mk[oo fj[ej
末端距	mo[ha dr[lu ju[zk
摩爾比	mo[gf er[dx bi[bb
摩爾氣體常數	mo[gf er[dx qi[rh ti[ra ih[xk uu[mw
摩爾體積	mo[gf er[dx ti[ra ji[hk
摩爾質量	mo[gf er[dx vi[pu ll[oh
摩爾質量排除極限	mo[gf er[dx vi[pu ll[oh pd[ff iu[er ji[aj xm[eg
膜分離器	mo[oc ff[bd li[wk qi[kq
膜回收	mo[oc hv[wk uz[vw
膜試漏	mo[oc ui[yq lz[du
某些合金	mz[ga xp[ve he[rh jb[rw
某些性質	mz[ga xp[ve xk[xp vi[pu
模板合成	mu[ac bj[ap he[rh ig[wv
模板聚合	mu[ac bj[ap ju[ep he[rh
鉬標準溶液	mu[jm bn[ae vy[dv rs[dx ye[dw
木曹澱粉	mu[ub cc[ho dm[dg ff[mf
木醋酸	mu[ub cu[yg sr[ys
木防己苦毒素	mu[ub fh[ef ji[kv ku[cg du[fm su[fy
母粉	mu[vv ff[mf
牡荊素	mu[nt jk[cd su[fy
模具膠	mu[ac ju[jb jn[ol
目視滴定法	mu[we ui[uj di[dl dk[gp fa[dt
穆斯堡爾譜學	mu[hb si[qj bc[rt er[dx pu[yb xt[xz
穆斯堡爾譜儀	mu[hb si[qj bc[rt er[dx pu[yb yi[rd
鉬酸銨	mu[jm sr[ys an[jg
鉬酸鋇	mu[jm sr[ys bw[jb
鉬酸鈣	mu[jm sr[ys gd[jx
鉬酸鈉	mu[jm sr[ys na[jk
鉬酸鉛	mu[jm sr[ys qm[jj
鉬酸鹽	mu[jm sr[ys yj[tm
鉬酸銀	mu[jm sr[ys yb[jg
木炭瓊脂	mu[ub tj[uu qs[ww vi[ob
木糖試紙	mu[ub th[mg ui[yq vi[su
木酮糖	mu[ub ts[yk th[mg
母液	mu[vv ye[dw
母液泵	mu[vv ye[dw bg[eu
母液澄清桶	mu[vv ye[dw ig[dd qk[df ts[as
母液儲槽	mu[vv ye[dw iu[ry cc[ah
母液放空槽	mu[vv ye[dw fh[fw ks[xg cc[ah
母液換熱器	mu[vv ye[dw hr[fd re[fd qi[kq
母液回收泵	mu[vv ye[dw hv[wk uz[vw bg[eu
母液回收桶	mu[vv ye[dw hv[wk uz[vw ts[as
母液一泵	mu[vv ye[dw yi[hh bg[eu
木質素磺酸鈣	mu[ub vi[pu su[fy hl[eg sr[ys gd[jx
木質素磺酸鈉	mu[ub vi[pu su[fy hl[eg sr[ys na[jk
木質桃紅	mu[ub vi[pu tc[av hs[sg
鈉白粉	na[jk bd[po ff[mf
鈉標準溶液	na[jk bn[ae vy[dv rs[dx ye[dw
鈉丁美酮	na[jk dk[hu mw[bw ts[yk
納丁酸酐甲酯	na[sk dk[hu sr[ys gj[yg jx[ou vi[yb
那格列萘	na[ve ge[aw lp[hd nd[cd
鈉汞齊	na[jk gs[gu qi[wp
鈉鹼石灰	na[jk jm[ew ui[ek hv[uh
那可汀	na[ve ke[dk tk[dd
鈉硫電池	na[jk lq[ew dm[ov ii[dy
鈉鐵	na[jk tp[jp
鈉鹽礦	na[jk yj[tm kl[eg
萘胺二磺酸	nd[cd an[og er[hh hl[eg sr[ys
萘胺磺酸	nd[cd an[og hl[eg sr[ys
萘胺磺酸鈉	nd[cd an[og hl[eg sr[ys na[jk
萘胺磺酸鈉鹽	nd[cd an[og hl[eg sr[ys na[jk yj[tm
萘胺偶氮磺酸	nd[cd an[og ou[ro dj[qh hl[eg sr[ys
萘胺鹽酸鹽	nd[cd an[og yj[tm sr[ys yj[tm
萘胺棕	nd[cd an[og zs[ag
乃春	nd[vp iy[so
萘啶酮酸鈉鹽	nd[cd dk[kg ts[yk sr[ys na[jk yj[tm
萘二磺酸	nd[cd er[hh hl[eg sr[ys
萘二磺酸鈉	nd[cd er[hh hl[eg sr[ys na[jk
萘二甲酸酐	nd[cd er[hh jx[ou sr[ys gj[yg
萘二醌	nd[cd er[hh ky[yo
耐爾藍	nd[ec er[dx lj[cu
耐爾藍硫酸鹽	nd[ec er[dx lj[cu lq[ew sr[ys yj[tm
萘酚苯基甲醇	nd[cd ff[yf bf[ca ji[qt jx[ou iy[yw
萘酚對磺酸鈉	nd[cd ff[yf dv[yc hl[eg sr[ys na[jk
萘酚二磺酸	nd[cd ff[yf er[hh hl[eg sr[ys
萘酚二磺酸鉀	nd[cd ff[yf er[hh hl[eg sr[ys jx[jo
萘酚黑	nd[cd ff[yf hw[sd
萘酚紅	nd[cd ff[yf hs[sg
萘酚磺酸	nd[cd ff[yf hl[eg sr[ys
萘酚磺酸鉀鹽	nd[cd ff[yf hl[eg sr[ys jx[jo yj[tm
萘酚磺酸鈉鹽	nd[cd ff[yf hl[eg sr[ys na[jk yj[tm
萘酚藍	nd[cd ff[yf lj[cu
萘酚藍黑	nd[cd ff[yf lj[cu hw[sd
萘酚磷酸鹽	nd[cd ff[yf lb[em sr[ys yj[tm
萘酚磷酸酯	nd[cd ff[yf lb[em sr[ys vi[yb
萘酚綠	nd[cd ff[yf lv[sx
萘酚氯乙酸酯	nd[cd ff[yf lv[qx yi[vv sr[ys vi[yb
萘酚酞	nd[cd ff[yf td[yd
萘酚乙酸酯	nd[cd ff[yf yi[vv sr[ys vi[yb
萘酚紫	nd[cd ff[yf zi[vy
萘鉻綠	nd[cd ge[jw lv[sx
萘紅	nd[cd hs[sg
萘磺酸	nd[cd hl[eg sr[ys
萘磺酸鈉鹽	nd[cd hl[eg sr[ys na[jk yj[tm
萘磺酸偶氮鹽	nd[cd hl[eg sr[ys ou[ro dj[qh yj[tm
萘黃酮	nd[cd hl[gy ts[yk
萘基苯基惡唑	nd[cd ji[qt bf[ca ji[qt ee[hx zo[kr
萘基苯基甲酮	nd[cd ji[qt bf[ca ji[qt jx[ou ts[yk
萘基苯甲酮	nd[cd ji[qt bf[ca jx[ou ts[yk
萘基吡咯烷	nd[cd ji[qt bi[kb lo[kw wj[hg
萘基對苯二胺	nd[cd ji[qt dv[yc bf[ca er[hh an[og
萘基黃	nd[cd ji[qt hl[gy
萘基磷酸鈉鹽	nd[cd ji[qt lb[em sr[ys na[jk yj[tm
萘基磷酸酯	nd[cd ji[qt lb[em sr[ys vi[yb
萘基硫脲	nd[cd ji[qt lq[ew nn[ou
萘基脲	nd[cd ji[qt nn[ou
萘基乙二胺	nd[cd ji[qt yi[vv er[hh an[og
萘甲腈	nd[cd jx[ou jk[of
萘甲醚	nd[cd jx[ou mi[ym
萘甲醛	nd[cd jx[ou qr[yc
萘甲酸	nd[cd jx[ou sr[ys
萘甲酰氯	nd[cd jx[ou xm[yn lv[qx
萘肼	nd[cd jk[oe
萘肼鹽酸鹽	nd[cd jk[oe yj[tm sr[ys yj[tm
萘醌	nd[cd ky[yo
萘醌磺酸	nd[cd ky[yo hl[eg sr[ys
萘醌磺酸鉀	nd[cd ky[yo hl[eg sr[ys jx[jo
萘醌磺酸鉀鹽	nd[cd ky[yo hl[eg sr[ys jx[jo yj[tm
萘醌磺酸鈉鹽	nd[cd ky[yo hl[eg sr[ys na[jk yj[tm
萘磷酸鈉	nd[cd lb[em sr[ys na[jk
萘磷酸鈉鹽	nd[cd lb[em sr[ys na[jk yj[tm
萘內酰亞胺	nd[cd nw[kr xm[yn ya[hy an[og
萘硼酸	nd[cd pg[eo sr[ys
萘醛	nd[cd qr[yc
奈斯勒試劑	nd[de si[qj le[gl ui[yq ji[wd
萘酸磺酸鉀鹽	nd[cd sr[ys hl[eg sr[ys jx[jo yj[tm
萘酰亞胺	nd[cd xm[yn ya[hy an[og
萘氧基氯化膦	nd[cd yh[qy ji[qt lv[qx hx[rq lb[om
萘氧基乙酸	nd[cd yh[qy ji[qt yi[vv sr[ys
萘氧氯化磷	nd[cd yh[qy lv[qx hx[rq lb[em
萘氧乙酸	nd[cd yh[qy yi[vv sr[ys
萘乙胺	nd[cd yi[vv an[og
萘乙腈	nd[cd yi[vv jk[of
萘乙醚	nd[cd yi[vv mi[ym
萘乙酸	nd[cd yi[vv sr[ys
萘乙酸甲酯	nd[cd yi[vv sr[ys jx[ou vi[yb
萘乙酸鈉鹽	nd[cd yi[vv sr[ys na[jk yj[tm
萘乙酸乙酯	nd[cd yi[vv sr[ys yi[vv vi[yb
萘乙酮	nd[cd yi[vv ts[yk
奶油香精	nd[nn yz[dy xl[ho jk[mf
萘酯	nd[cd vi[yb
喃甲醇	nj[ku jx[ou iy[yw
喃甲醛	nj[ku jx[ou qr[yc
難溶性化合物	nj[yv rs[dx xk[xp hx[rq he[rh wu[nb
腦苷脂牛腦	nc[ow gj[cg vi[ob nq[pf nc[ow
腦浸粉	nc[ow jb[dx ff[mf
腦磷脂牛腦	nc[ow lb[em vi[ob nq[pf nc[ow
腦心肉湯	nc[ow xb[dv rz[kr th[dv
內半縮醛	nw[kr bj[bf so[sg qr[yc
內稟能壘	nw[kr bk[we ng[sb lw[st
內層軌道	nw[kr cg[ue gv[ij dc[bz
內啡肽	nw[kr fw[kf td[od
內啡肽人	nw[kr fw[kf td[od rf[pd
內過渡元素	nw[kr go[cz du[dg yr[ee su[fy
內模共振	nw[kr mo[ac gs[gb vf[fi
內鎓鹽	nw[kr wg[[ yj[tm
內消旋胱氨酸	nw[kr xn[dx xr[fr gl[ox an[qg sr[ys
內硝旋胱氨酸	nw[kr xn[ex xr[fr gl[ox an[qg sr[ys
內消旋酒石酸	nw[kr xn[dx xr[fr jq[dy ui[ek sr[ys
內旋轉	nw[kr xr[fr vr[ie
內鹽	nw[kr yj[tm
內張力	nw[kr vh[gi li[vp
內轉換	nw[kr vr[ie hr[fd
能量衡算	ng[sb ll[oh hg[rd sr[vm
能量色散	ng[sb ll[oh se[db sj[gw
能轉化	ng[sb vr[ie hx[rq
尼泊金丙脂	ni[ub bo[db jb[rw bk[hk vi[ob
尼古勞丁溶液	ni[ub gu[uk lc[cl dk[hu rs[dx ye[dw
逆流泵	ni[nz lq[dw bg[eu
尼龍粉	ni[ub ls[yp ff[mf
尼龍酸二甲酯	ni[ub ls[yp sr[ys er[hh jx[ou vi[yb
尼鈉爾	ni[ub na[jk er[dx
尼納爾	ni[ub na[sk er[dx
逆頻哪醇重排	ni[nz pb[vy na[kv iy[yw is[ph pd[ff
逆羥醛縮合	ni[nz ql[ys qr[yc so[sg he[rh
泥三角	ni[du sj[hh jn[do
逆滲透	ni[nz uf[ds tz[hz
擬水平	ni[fs uv[uu pk[hb
逆同位素稀釋分析	ni[nz ts[kh ww[rl su[fy xi[hi ui[py ff[bd xi[aj
逆王水	ni[nz wh[su uv[uu
逆向反應	ni[nz xl[pk fj[py yk[gx
逆向伏安法	ni[nz xl[pk fu[rq an[gn fa[dt
黏蛋白胃	nm[hb dj[pi bd[po ww[to
粘度	nm[mb du[gn
粘度標準液	nm[mb du[gn bn[ae vy[dv ye[dw
粘合劑	nm[mb he[rh ji[wd
粘合劑分散劑	nm[mb he[rh ji[wd ff[bd sj[gw ji[wd
粘膠纖維	nm[mb jn[ol xm[sq ww[sv
鳥氨酸醋酸鹽	nn[nh an[qg sr[ys cu[yg sr[ys yj[tm
鳥氨酸硫酸鹽	nn[nh an[qg sr[ys lq[ew sr[ys yj[tm
尿八項試紙	nn[uu ba[pd xl[gy ui[yq vi[su
尿八項試紙新	nn[uu ba[pd xl[gy ui[yq vi[su xb[lj
尿蛋白試紙	nn[uu dj[pi bd[po ui[yq vi[su
尿苷	nn[uu gj[cg
尿苷成套試劑	nn[uu gj[cg ig[wv tc[di ui[yq ji[wd
鳥苷環磷酸鈉	nn[nh gj[cg hr[wb lb[em sr[ys na[jk
鳥苷磷酸	nn[nh gj[cg lb[em sr[ys
鳥苷磷酸鈉鹽	nn[nh gj[cg lb[em sr[ys na[jk yj[tm
尿苷磷酸鈉鹽	nn[uu gj[cg lb[em sr[ys na[jk yj[tm
鳥苷酸	nn[nh gj[cg sr[ys
尿黑酸	nn[uu hw[sd sr[ys
脲基甲酸乙酯	nn[ou ji[qt jx[ou sr[ys yi[vv vi[yb
脲基乙酸	nn[ou ji[qt yi[vv sr[ys
脲甲醛樹脂	nn[ou jx[ou qr[yc uu[ay vi[ob
尿刊酸	nn[uu kj[gd sr[ys
脲酶巨豆	nn[ou mw[yr ju[kk dz[hk
脲酶冷藏	nn[ou mw[yr lg[dr ch[cw
脲酶片巨豆	nn[ou mw[yr pm[pu ju[kk dz[hk
尿嘧啶	nn[uu mi[kg dk[kg
尿囊素	nn[uu nh[hk su[fy
鳥嘌呤度	nn[nh pn[kx lk[kr du[gn
鳥嘌呤硫酸鹽	nn[nh pn[kx lk[kr lq[ew sr[ys yj[tm
鳥嘌呤鹽酸鹽	nn[nh pn[kx lk[kr yj[tm sr[ys yj[tm
脲瓊脂	nn[ou qs[ww vi[ob
脲醛對脂	nn[ou qr[yc dv[yc vi[ob
脲醛膠	nn[ou qr[yc jn[ol
脲醛樹脂	nn[ou qr[yc uu[ay vi[ob
脲醛塑料	nn[ou qr[yc su[nt ln[md
尿三聯試紙	nn[uu sj[hh lm[eb ui[yq vi[su
尿十項試紙	nn[uu ui[hu xl[gy ui[yq vi[su
尿十一項試紙	nn[uu ui[hu yi[hh xl[gy ui[yq vi[su
脲素瓊脂	nn[ou su[fy qs[ww vi[ob
尿素試紙	nn[uu su[fy ui[yq vi[su
尿素水溶液	nn[uu su[fy uv[uu rs[dx ye[dw
尿酸銨	nn[uu sr[ys an[jg
尿酸酶	nn[uu sr[ys mw[yr
尿酸鈉	nn[uu sr[ys na[jk
尿酸氫銨	nn[uu sr[ys qk[qs an[jg
尿酸酯	nn[uu sr[ys vi[yb
尿唑	nn[uu zo[kr
鎳棒	np[jz bh[as
鎳標準溶液	np[jz bn[ae vy[dv rs[dx ye[dw
鎳海綿	np[jz hd[dr mm[sb
鎳鋁合金	np[jz lv[jk he[rh jb[rw
鎳鋁合金粉	np[jz lv[jk he[rh jb[rw ff[mf
鎳鋁鉬合金粉	np[jz lv[jk mu[jm he[rh jb[rw ff[mf
鎳氫化鉀	np[jz qk[qs hx[rq jx[jo
鎳球	np[jz qq[wh
鎳絲	np[jz si[sh
鎳屑	np[jz xp[ux
凝集素	nk[db ji[va su[fy
檸檬醛	nk[ag mg[ac qr[yc
檸檬酸	nk[ag mg[ac sr[ys
檸檬酸銨	nk[ag mg[ac sr[ys an[jg
檸檬酸鋇	nk[ag mg[ac sr[ys bw[jb
檸檬酸鉍銨	nk[ag mg[ac sr[ys bi[jx an[jg
檸檬酸二銨	nk[ag mg[ac sr[ys er[hh an[jg
檸檬酸二氫鉀	nk[ag mg[ac sr[ys er[hh qk[qs jx[jo
檸檬酸二氫鈉	nk[ag mg[ac sr[ys er[hh qk[qs na[jk
檸檬酸鈣	nk[ag mg[ac sr[ys gd[jx
檸檬酸鉀	nk[ag mg[ac sr[ys jx[jo
檸檬酸鋰	nk[ag mg[ac sr[ys li[jo
檸檬酸鎂十	nk[ag mg[ac sr[ys mw[jb ui[hu
檸檬酸鈉	nk[ag mg[ac sr[ys na[jk
檸檬酸鈉鉀	nk[ag mg[ac sr[ys na[jk jx[jo
檸檬酸哌嗪	nk[ag mg[ac sr[ys pd[kp qb[ks
檸檬酸氫二胺	nk[ag mg[ac sr[ys qk[qs er[hh an[og
檸檬酸氫二銨	nk[ag mg[ac sr[ys qk[qs er[hh an[jg
檸檬酸三丁酯	nk[ag mg[ac sr[ys sj[hh dk[hu vi[yb
檸檬酸三鉀	nk[ag mg[ac sr[ys sj[hh jx[jo
檸檬酸三甲酯	nk[ag mg[ac sr[ys sj[hh jx[ou vi[yb
檸檬酸三鈉	nk[ag mg[ac sr[ys sj[hh na[jk
檸檬酸三辛酯	nk[ag mg[ac sr[ys sj[hh xb[lu vi[yb
檸檬酸三乙酯	nk[ag mg[ac sr[ys sj[hh yi[vv vi[yb
檸檬酸鐵	nk[ag mg[ac sr[ys tp[jp
檸檬酸鐵銨	nk[ag mg[ac sr[ys tp[jp an[jg
檸檬酸銅	nk[ag mg[ac sr[ys ts[jk
檸檬酸銅水	nk[ag mg[ac sr[ys ts[jk uv[uu
檸檬香精	nk[ag mg[ac xl[ho jk[mf
檸嗪酸	nk[ag qb[ks sr[ys
凝乳酶小牛胃	nk[db ru[av mw[yr xn[ub nq[pf ww[to
凝血酶牛血漿	nk[db xt[pm mw[yr nq[pf xt[pm jl[du
牛白蛋白	nq[pf bd[po dj[pi bd[po
牛白朊	nq[pf bd[po rr[oe
牛膽酸鈉	nq[pf dj[oo sr[ys na[jk
牛膽汁乾燥	nq[pf dj[oo vi[du gj[hu zc[hk
牛頓剪切粘度	nq[pf dy[ty jm[bd qp[qd nm[mb du[gn
牛華鹽廠	nq[pf hx[ru yj[tm ih[hp
牛華鎮	nq[pf hx[ru vf[ju
牛黃石膽酸鈉	nq[pf hl[gy ui[ek dj[oo sr[ys na[jk
牛角管	nq[pf jn[do gr[vg
牛津瓊脂基礎	nq[pf jb[dy qs[ww vi[ob ji[qt iu[ei
扭力天平	nq[fi li[vp tm[hd pk[hb
牛奶巧克力棕	nq[pf nd[nn qn[gk ke[ge li[vp zs[ag
牛奶香精	nq[pf nd[nn xl[ho jk[mf
牛肉膏粉	nq[pf rz[kr gc[wk ff[mf
牛肉浸膏	nq[pf rz[kr jb[dx gc[wk
牛肉浸膏粉	nq[pf rz[kr jb[dx gc[wk ff[mf
牛肉皰肉粒	nq[pf rz[kr pc[bb rz[kr li[ml
牛心粉	nq[pf xb[dv ff[mf
牛血漿白蛋白	nq[pf xt[pm jl[du bd[po dj[pi bd[po
牛血清白蛋白	nq[pf xt[pm qk[df bd[po dj[pi bd[po
扭折位	nq[fi ve[fj ww[rl
牛質油	nq[pf vi[pu yz[dy
濃度敏感型檢測器	ns[dg du[gn mb[rw gj[wx xk[kt jm[ar ce[db qi[kq
濃硫酸	ns[dg lq[ew sr[ys
濃溶液	ns[dg rs[dx ye[dw
濃水	ns[dg uv[uu
濃相	ns[dg xl[am
諾畢速滅松	no[yc bi[bu su[hz mp[hh ss[ab
歐白芷內酯	ou[kd bd[po vi[cv nw[kr vi[yb
偶氮苯	ou[ro dj[qh bf[ca
偶氮苯磺酸	ou[ro dj[qh bf[ca hl[eg sr[ys
偶氮苯羧酸	ou[ro dj[qh bf[ca so[ys sr[ys
偶氮二異丁腈	ou[ro dj[qh er[hh yi[kc dk[hu jk[of
偶氮二異丁氰	ou[ro dj[qh er[hh yi[kc dk[hu qk[qf
偶氮二異庚腈	ou[ro dj[qh er[hh yi[kc gg[gx jk[of
偶氮骨膠原	ou[ro dj[qh gu[ko jn[ol yr[ib
偶氮黃	ou[ro dj[qh hl[gy
偶氮黃二鈉鹽	ou[ro dj[qh hl[gy er[hh na[jk yj[tm
偶氮黃四鈉鹽	ou[ro dj[qh hl[gy si[we na[jk yj[tm
偶氮基	ou[ro dj[qh ji[qt
偶氮甲鹼	ou[ro dj[qh jx[ou jm[ew
偶氮桔梗	ou[ro dj[qh jp[au gg[ah
偶氮酷蛋白	ou[ro dj[qh ku[yn dj[pi bd[po
偶氮藍	ou[ro dj[qh lj[cu
偶氮氯膦	ou[ro dj[qh lv[qx lb[om
偶氮品紅	ou[ro dj[qh pb[kk hs[sg
偶氮胂	ou[ro dj[qh uf[oo
偶氮砷	ou[ro dj[qh uf[eo
偶氮胂鈀	ou[ro dj[qh uf[oo ba[jb
偶氮羧	ou[ro dj[qh so[ys
偶氮洋紅	ou[ro dj[qh yh[dy hs[sg
偶氮氧化偶氮	ou[ro dj[qh yh[qy hx[rq ou[ro dj[qh
偶氮熒光桃紅	ou[ro dj[qh yk[ch gl[xe tc[av hs[sg
偶合	ou[ro he[rh
偶極偶極相互作用	ou[ro ji[aj ou[ro ji[aj xl[am hu[hv zo[rv ys[ou
偶極親質子溶劑	ou[ro ji[aj qb[la vi[pu zi[lh rs[dx ji[wd
偶聯聚合	ou[ro lm[eb ju[ep he[rh
帕克利特西爾	pa[jb ke[ge li[hd te[nt xi[hk er[dx
帕拉薄膜	pa[jb la[fl bo[cd mo[oc
帕莫酸二鈉鹽	pa[jb mo[co sr[ys er[hh na[jk yj[tm
帕特森尋峰法	pa[jb te[nt sf[aa xy[xc fg[uw fa[dt
哌啶	pd[kp dk[kg
哌啶醇	pd[kp dk[kg iy[yw
哌啶基苯胺	pd[kp dk[kg ji[qt bf[ca an[og
哌啶甲酸	pd[kp dk[kg jx[ou sr[ys
哌啶甲酸乙酯	pd[kp dk[kg jx[ou sr[ys yi[vv vi[yb
哌啶羧酸	pd[kp dk[kg so[ys sr[ys
哌啶鹽酸鹽	pd[kp dk[kg yj[tm sr[ys yj[tm
排空集氣法	pd[ff ks[xg ji[va qi[rh fa[dt
排空氣集氣法	pd[ff ks[xg qi[rh ji[va qi[rh fa[dt
派羅寧	pd[dp lo[sx nk[gd
派羅寧甲基綠	pd[dp lo[sx nk[gd jx[ou ji[qt lv[sx
哌嗪二酮	pd[kp qb[ks er[hh ts[yk
哌嗪雙乙磺酸	pd[kp qb[ks ul[yy yi[vv hl[eg sr[ys
排水集氣法	pd[ff uv[uu ji[va qi[rh fa[dt
排汙溝	pd[ff wu[dh gz[db
排汙罐	pd[ff wu[dh gr[wc
排汙冷卻器	pd[ff wu[dh lg[dr qt[te qi[kq
蒎烯	pd[cd xi[hi
排液	pd[ff ye[dw
判別分析	pj[bd bp[kd ff[bd xi[aj
盤車器	pj[vm ie[qu qi[kq
潘法罕吸附規律	pj[dp fa[dt hj[gg xi[kj fu[er gv[ej lv[ry
滂胺天藍	ph[dl an[og tm[hd lj[cu
旁觀者奪取模型	ph[lf gr[yj ve[to do[dc qu[ey mo[ac xk[kt
旁路閥	ph[lf lu[zw fa[mr
滂酰胭脂紅	ph[dl xm[yn yj[ow vi[ob hs[sg
滂酰紫	ph[dl xm[yn zi[vy
泡利不相容原理	pc[db li[hd bu[eu xl[am rs[xr yr[ib li[wo
陪伴機理	pw[el bj[rb ji[aj li[wo
配合物	pw[yk he[rh wu[nb
配劑班	pw[yk ji[wd bj[wd
培菌培養基	pw[tl jy[cw pw[tl yh[yp ji[qt
培美曲塞二鈉	pw[tl mw[bw qu[ou sd[gt er[hh na[jk
配氣站	pw[yk qi[rh vj[lb
配體	pw[yk ti[ra
配體場穩定化能	pw[yk ti[ra ih[tv wf[hd dk[gp hx[rq ng[sb
配位多面體	pw[yk ww[rl do[xx mm[ew ti[ra
配位化合物	pw[yk ww[rl hx[rq he[rh wu[nb
配位化學	pw[yk ww[rl hx[rq xt[xz
配位鍵	pw[yk ww[rl jm[jy
配位聚合	pw[yk ww[rl ju[ep he[rh
配位體	pw[yk ww[rl ti[ra
配位陰離子	pw[yk ww[rl yb[eo li[wk zi[lh
配位作用	pw[yk ww[rl zo[rv ys[ou
培養基低糖	pw[tl yh[yp ji[qt di[ru th[mg
培養基粉	pw[tl yh[yp ji[qt ff[mf
培養基高糖	pw[tl yh[yp ji[qt gc[wk th[mg
培養基基礎	pw[tl yh[yp ji[qt ji[qt iu[ei
配製溶液	pw[yk vi[nd rs[dx ye[dw
噴釉	pf[ku yz[py
硼粉	pg[eo ff[mf
硼化鉬	pg[eo hx[rq mu[jm
硼化物	pg[eo hx[rq wu[nb
硼晶體	pg[eo jk[oo ti[ra
硼擴散源	pg[eo ko[fg sj[gw yr[di
硼氫反應	pg[eo qk[qs fj[py yk[gx
硼氫化	pg[eo qk[qs hx[rq
硼氫化反應	pg[eo qk[qs hx[rq fj[py yk[gx
硼氫化鉀	pg[eo qk[qs hx[rq jx[jo
硼氫化鋰	pg[eo qk[qs hx[rq li[jo
硼氫化鈉	pg[eo qk[qs hx[rq na[jk
硼砂緩衝溶液	pg[eo ua[ex hr[sa is[dv rs[dx ye[dw
硼砂碳酸鈉	pg[eo ua[ex tj[eu sr[ys na[jk
硼砂亞甲基藍	pg[eo ua[ex ya[hy jx[ou ji[qt lj[cu
硼砂胭脂紅	pg[eo ua[ex yj[ow vi[ob hs[sg
硼砂珠試驗	pg[eo ua[ex vu[wp ui[yq yj[mr
硼酸	pg[eo sr[ys
硼酸鈣	pg[eo sr[ys gd[jx
硼酸鎂	pg[eo sr[ys mw[jb
硼酸錳	pg[eo sr[ys mg[jz
硼酸鉛	pg[eo sr[ys qm[jj
硼酸三丙酯	pg[eo sr[ys sj[hh bk[hk vi[yb
硼酸三丁酯	pg[eo sr[ys sj[hh dk[hu vi[yb
硼酸三甲酯	pg[eo sr[ys sj[hh jx[ou vi[yb
硼酸三異丙酯	pg[eo sr[ys sj[hh yi[kc bk[hk vi[yb
硼酸三異辛酯	pg[eo sr[ys sj[hh yi[kc xb[lu vi[yb
硼酸三乙酯	pg[eo sr[ys sj[hh yi[vv vi[yb
硼酸鋅	pg[eo sr[ys xb[jl
硼酸鹽	pg[eo sr[ys yj[tm
硼源	pg[eo yr[di
碰撞猝滅	pg[eb vl[fl cu[qw mp[hh
碰撞活化	pg[eb vl[fl ho[dq hx[rq
皮策張力	pi[vp ce[vc vh[gi li[vp
皮粉含鉻	pi[vp ff[mf hj[rk ge[jw
匹格列酮	pi[ke ge[aw lp[hd ts[yk
鈹粒	pi[jp li[ml
坯體	pi[tb ti[ra
皮質酮	pi[vp vi[pu ts[yk
偏苯三甲酸	pm[rh bf[ca sj[hh jx[ou sr[ys
偏苯三甲酸酐	pm[rh bf[ca sj[hh jx[ou sr[ys gj[yg
偏苯三甲酸三辛酯	pm[rh bf[ca sj[hh jx[ou sr[ys sj[hh xb[lu vi[yb
偏二氯乙烯	pm[rh er[hh lv[qx yi[vv xi[hi
偏釩酸銨	pm[rh fj[jj sr[ys an[jg
偏釩酸鉀	pm[rh fj[jj sr[ys jx[jo
偏釩酸鋰	pm[rh fj[jj sr[ys li[jo
偏釩酸鈉	pm[rh fj[jj sr[ys na[jk
